Highest Education Level,Total Hours Worked,Electoral Division,"Agriculture, Forestry and Fishing (A) (%)",Construction (F) (%),"Financial, Real Estate, Administrative and Services (K,L,N,S) (%)","ICT, Scientific and Recreation (J,M,R) (%)","Industry (B,C,D,E) (%)","Public Service, Education and Health (O,P,Q) (%)","Wholesale, Transport and Accomodation (G,H,I) (%)",% Receiving SW,% Pension is Majority,Income per commuter for <30mins,Income per commuter for >30mins,Household Income
17,110,"040 Arderin, Co. Laois",14.6,12,10.2,4.6,16.2,27.5,14.9,15.9,14.6,27014,34462,40056
79,545,"041 Ballybrittas, Co. Laois",2.1,4,14.4,16.3,8.7,35.9,18.5,7.8,8.3,34486,55717,65822
22,159,"042 Ballycarroll, Co. Laois",6.9,7.6,11.8,7.4,7.8,33.0,25.5,4.2,12.7,33787,42385,56815
40,276,"043 Ballyfin, Co. Laois",8.2,8.9,10.1,9.8,8.3,34.7,20.0,7.5,14.2,34122,42325,54273
89,619,"044 Borris, Co. Laois",4,6.5,16.1,8.2,11.2,24.8,29.1,25,4.3,21996,33806,36019
23,146,"047 Cappalough, Co. Laois",9.6,12.3,11.8,6.6,6.5,40.9,12.3,11.2,11.2,30268,34942,51018
10,80,"048 Cardtown, Co. Laois",20,12.7,8.9,7.1,11.2,25.1,15.0,7.8,19.6,24500,34643,46798
20,155,"049 Castlecuffe, Co. Laois",14.8,12,6.4,3.8,18.6,30.0,14.4,14.2,13.4,31224,34193,42840
35,335,"050 Clonaslee, Co. Laois",8.9,8.5,8.9,7.2,11.8,35.4,19.3,16.6,17.5,27030,28565,39090
113,778,"051 Clondarrig, Co. Laois",1.9,6.6,12.8,10,10.4,33.8,24.6,16.7,5.1,25778,39169,46720
8,99,"052 Clonin, Co. Laois",11.5,7.9,9.2,6.6,11.9,36.9,16.1,10.1,21.5,28642,34201,46455
17,105,"053 Coolrain, Co. Laois",14.7,11.1,10.3,10.4,12.1,29.6,11.9,7.7,19.2,28846,47301,48613
66,509,"054 Dangans, Co. Laois",5.6,8.5,9.3,9.7,11.5,33.2,22.1,31.8,6.7,22925,37121,37518
81,436,"055 Emo, Co. Laois",6.5,8.3,9.8,11.2,11.7,35.0,17.6,9.6,15.2,34072,45241,56713
16,86,"056 Garrymore, Co. Laois",8.9,11.7,6.9,5.4,12.3,40.9,13.9,3.1,9.4,45746,50151,63831
15,66,"057 Graigue, Co. Laois",10.9,11,7.4,11.2,12.4,31.9,15.2,13.2,19.1,33839,33693,47533
32,198,"058 Jamestown, Co. Laois",7.6,7.6,12.7,12.1,14.2,23.3,22.5,9.3,10,30784,43643,57969
41,272,"059 Kilcolmanbane, Co. Laois",7.2,8,7.2,7.3,12.5,37.3,20.4,5.6,14.6,33880,42863,61612
42,234,"060 Kilmullen, Co. Laois",4.3,8.4,14.3,11.3,15.4,30.8,15.5,9.9,12.2,32589,47395,55196
14,112,"061 Kilmurry, Co. Laois",9.6,9.1,11.8,10.9,9.4,32.0,17.2,7.5,10,26174,39708,58548
12,116,"062 Lacka, Co. Laois",13.4,13.8,8.9,5.2,11.6,29.1,18.0,17.2,12.6,30047,26269,40745
11,63,"063 Marymount, Co. Laois",17.4,11.1,13.5,16.3,9.5,16.6,15.5,6.3,12.5,26705,36681,50179
17,153,"064 Meelick, Co. Laois",10.3,13.7,9.8,9.8,8.2,30.8,17.5,16.2,16.9,27157,26449,45352
65,418,"065 Mountmellick Rural, Co. Laois",3.6,8.3,12.9,8.2,12.8,36.2,18.1,8.5,12.6,31766,42647,57406
131,"1,020","066 Mountmellick Urban, Co. Laois",1.6,7,9.8,7.9,13.6,37.4,22.8,22.7,16.7,26531,35656,32840
113,850,"067 Mountrath, Co. Laois",5.5,8.3,8.3,6.2,12.1,37.3,22.4,24.7,14.5,23989,34395,33029
5,42,"068 Nealstown, Co. Laois",14.6,10.4,..,11.3,6.7,39.8,17.1,6.5,29,..,..,58066
41,190,"069 O'More's Forest, Co. Laois",14.4,4.7,7.7,9.2,8.6,35.0,20.4,8.4,15.5,32138,39961,53982
399,"2,695","070 Portarlington South, Co. Laois",1.2,6.4,13.7,11.9,11.8,31.0,24.0,19.4,8.6,26000,38450,40815
720,"6,254","071 Portlaoighise (Maryborough) Rural, Co. Laois",1,4.7,11.5,9.4,8.5,42.6,22.3,19.3,6.6,29541,38220,43743
197,"1,461","072 Portlaoighise (Maryborough) Urban, Co. Laois",1.2,5.2,12.5,7.1,10.1,37.2,26.7,23,12.8,23897,32807,32358
10,110,"073 Rearymore, Co. Laois",14.6,12.3,8.9,9,4.8,32.5,17.9,9.5,21.1,..,..,42594
24,181,"074 Rosenallis, Co. Laois",10.5,11.1,7.1,6.5,9.5,36.7,18.7,10.9,15.9,24245,46801,46638
28,241,"075 Sallyford, Co. Laois",7.8,7.6,10.1,8.8,16.8,29.8,19.2,5.4,15.7,31392,44862,51456
61,398,"076 Shaen, Co. Laois",6.1,4.8,6.4,10.4,10.5,40.2,21.7,7.6,9.3,30766,42032,57115
8,72,"077 Tinnahinch, Co. Laois",11.7,10.6,14.7,8.8,12.8,28.0,13.4,14.5,16.1,32996,37900,43956
14,100,"078 Trumra, Co. Laois",17,8.5,11.2,9.8,12.2,29.9,11.3,6.9,21.8,29740,36962,42620
13,77,"079 Ballybrophy, Co. Laois",18.6,11,6.5,3,15.7,24.1,21.0,7.7,21.5,24362,40806,43066
28,314,"080 Borris-in-Ossory, Co. Laois",6.8,10,9.8,7.9,7.7,31.2,26.6,18.4,19.9,26029,33980,33131
12,85,"081 Clonmore, Co. Laois",12.5,11.7,14.9,5.8,18,22.9,14.2,18.7,16,22962,45384,37401
15,165,"082 Errill, Co. Laois",11.5,13.5,8.3,7.8,10.2,28.6,19.9,17,17.7,23329,36764,38908
12,93,"083 Kyle, Co. Laois",19.2,3.6,10.6,2.2,13.9,30.0,20.6,10.3,24.1,..,..,38528
21,118,"084 Kyle South, Co. Laois",17.4,6.6,7.2,8.4,12.6,35.5,12.2,9.1,22.2,24294,40233,41073
7,72,"085 Moneenalassa, Co. Laois",17.5,11.7,8.4,2.9,9.5,31.4,18.5,12.8,10.6,27617,37643,55136
7,57,"086 Moneymore, Co. Laois",18.7,9.1,9.1,7.9,12.5,25.0,17.6,14.9,14.9,30691,31414,38981
28,236,"087 Rathsaran, Co. Laois",8.7,8.2,13.9,8.6,10.8,29.6,20.2,10.7,21.5,26321,39442,42520
24,148,"088 Ardough, Co. Laois",4.8,7.8,7.9,8.8,22.5,30.5,17.7,9,18,30459,44285,50625
15,147,"089 Arless, Co. Laois",13.8,4.8,11,12.4,7.8,32.6,17.7,15.7,11,29591,43963,48980
34,261,"090 Ballickmoyler, Co. Laois",6,9.1,11.7,13.1,17.3,26.4,16.3,10.1,15.2,28500,37589,46374
6,63,"091 Ballylehane, Co. Laois",12.7,2.9,15.8,9.2,14.9,23.9,20.6,12.3,14,26039,39833,47980
30,256,"092 Doonane, Co. Laois",8.3,8.5,13.6,10.2,17.6,23.2,18.6,23.6,15.4,26216,32147,35652
10,84,"093 Farnans, Co. Laois",17.6,11.5,11.1,11.9,10.2,24.1,13.5,15.4,13.8,24767,45625,40004
315,"1,950","094 Graigue Rural, Co. Laois",1.7,7.6,11.4,9.1,15.7,31.9,22.6,16.5,7.3,26660,38940,45094
22,120,"095 Newtown, Co. Laois",10.6,10.9,9.1,5.4,16.3,32.6,15.2,13.9,19.4,33213,35035,44394
41,180,"096 Rossmore, Co. Laois",4.5,5.1,13.7,11.9,21.2,30.8,12.8,8.5,14.1,33575,56147,61701
9,120,"097 Shrule, Co. Laois",13.6,6.1,15.4,7.3,13,25.4,19.2,11,14,26779,36244,45741
22,160,"098 Turra, Co. Laois",7.9,10.9,12.8,1.5,12.9,37.2,16.8,10.2,17.8,30121,35788,50044
149,"1,008","001 Longford No. 1 Urban, Co. Longford",0.6,3.9,16.8,5.7,19.2,27.3,26.4,41.7,14.3,19787,25947,23076
60,456,"002 Longford No. 2 Urban, Co. Longford",2.8,4.6,12.5,10.9,13.2,36.7,19.3,14.1,11.9,29619,39239,42377
28,150,"003 Agharra, Co. Longford",8.5,7,12.3,11.1,14.3,31.4,15.4,16.1,21.7,34791,49467,39045
177,"1,030","004 Ballymahon, Co. Longford",5.2,4.7,9.3,6.8,23.2,29.6,21.3,21.3,10.9,24973,33193,33764
19,126,"005 Cashel East, Co. Longford",9.4,7.4,12.8,0.4,20.2,40.5,9.3,17.1,23.4,30520,36035,37263
26,247,"006 Cashel West, Co. Longford",10.9,7.2,7.9,8.4,11.1,40.2,14.4,11.9,19.6,29266,35253,39968
23,192,"007 Doory, Co. Longford",14.4,1.7,10.6,8.2,18.3,31.9,15.0,12.8,16.1,27549,26469,37613
34,203,"008 Forgney, Co. Longford",7.5,7.1,10.6,10.3,11.4,34.3,18.8,8.2,18.4,31270,44903,54485
18,175,"009 Foxhall, Co. Longford",9.9,8.1,7,5.3,22.7,25.9,21.2,28.2,19.3,25403,34723,27895
52,377,"010 Kilcommock, Co. Longford",5.4,5.9,8.4,11.4,11.8,36.2,21.0,24.7,12.5,28569,41421,35200
35,278,"011 Kilglass, Co. Longford",9.8,5.6,9,9.7,15.7,37.6,12.8,16.7,19,24862,39125,36551
22,138,"012 Ledwithstown, Co. Longford",8.3,7.8,9,7.3,21.6,29.7,16.2,18.3,19.8,30458,34223,39771
21,123,"013 Abbeylara, Co. Longford",10.7,8.9,9.3,11.2,12.1,34.8,13.0,13.7,17.9,22489,37927,35989
29,219,"014 Ballinalee, Co. Longford",7.8,10,12.5,8.1,13.4,29.2,19.0,17.8,17.8,26838,35468,33797
12,97,"015 Ballymuigh, Co. Longford",10.7,8.6,11.3,9.1,13.3,34.1,12.9,14.6,27.1,31762,47154,33689
8,81,"016 Bunlahy, Co. Longford",9.1,13.7,9.5,3.8,17.2,36.6,10.0,20.6,11.8,35312,31128,41151
25,250,"017 Columbkille, Co. Longford",13.1,9,8.9,3.6,18.3,25.3,21.8,14.5,22.2,23703,31475,38138
26,158,"018 Coolamber, Co. Longford",7.8,14.7,8.6,7.1,15.9,30.0,15.9,14.2,15,28499,40459,51739
21,143,"019 Creevy, Co. Longford",8.2,8.6,11.6,10.4,11.7,35.2,14.2,12.8,19.3,23538,36661,38506
18,102,"020 Crosagstown, Co. Longford",12.9,8.7,10,6.2,13.7,35.0,13.6,10.6,16.5,..,..,46456
7,57,"021 Currygrane, Co. Longford",13.3,6.1,13.6,8.4,18.9,23.1,16.6,10.9,13,..,..,38883
6,74,"022 Dalystown, Co. Longford",10.4,13.4,14.1,1.4,21.5,28.8,10.4,20,15.4,..,..,32200
4,42,"023 Drummeel, Co. Longford",12.1,9.7,6.7,12.2,12.9,29.7,16.6,14.3,26.5,..,..,33879
19,147,"025 Gelshagh, Co. Longford",7.5,12.5,12.4,5.6,17.7,34.7,9.6,14.3,16.8,30794,39583,42697
9,123,"026 Granard Rural, Co. Longford",8.5,9.2,8.7,5.9,15.3,34.0,18.4,11.1,15.2,31595,30966,39670
42,400,"027 Granard Urban, Co. Longford",6.7,3.6,7.2,8,40.2,21.0,13.2,21.4,18.1,22184,33114,32252
8,65,"028 Knockanbaun, Co. Longford",5.3,10,15.6,9,14.7,29.0,16.4,14.5,18.2,..,..,41400
5,47,"029 Lislea, Co. Longford",12.5,0.8,12.4,11.5,21.7,25.1,16.0,17.6,29.4,..,..,34291
115,791,"030 Meathas Truim, Co. Longford",2.9,4.8,16.6,5.8,29.3,23.5,17.1,26,11.3,22842,33162,32900
21,141,"031 Milltown, Co. Longford",12.3,9.4,10.9,8.2,13.9,28.9,16.4,12,15.4,29636,34200,44523
10,82,"032 Moatfarrell, Co. Longford",7.6,1.9,10.9,9,18.1,36.0,16.4,12.9,12.9,29424,41270,50822
17,124,"033 Moyne, Co. Longford",12.4,8.3,10.7,13.7,12.3,30.9,11.8,16.7,27.5,25677,42800,28144
18,115,"034 Mullanalaghta, Co. Longford",12.8,7.3,8.4,4.4,19.1,28.6,19.4,6.7,24.8,29538,44908,51787
17,91,"036 Sonnagh, Co. Longford",9.3,6.9,12.3,14.2,15.9,27.9,13.5,18.8,30.2,30194,35600,28284
25,253,"037 Aghaboy, Co. Longford",4.6,10.8,10.7,9.2,15.1,36.7,13.0,15.7,19.9,29679,42441,34556
29,268,"038 Ardagh East, Co. Longford",8,5,10.5,8.8,15.5,41.5,10.6,10.6,19.5,33283,45831,46986
27,192,"039 Ardagh West, Co. Longford",7.1,6.3,11.1,10.1,16.8,31.7,16.9,10.2,12.2,29974,41072,48038
35,239,"040 Ballinamuck East, Co. Longford",10.1,15.1,6.3,8,16.8,34.2,9.5,17.5,15,29163,36967,38653
27,173,"041 Ballinamuck West, Co. Longford",7.7,11.5,12.7,8.7,14,27.8,17.7,22,20.2,21418,33119,29719
42,314,"042 Breanrisk, Co. Longford",4.2,6.6,11.6,8.7,19.4,32.4,17.0,19,13.6,26361,34279,39647
121,889,"043 Caldragh, Co. Longford",3.5,3.2,11.6,7.9,17,38.4,18.3,13.6,9.1,30433,42779,49054
44,236,"044 Cloondara, Co. Longford",9.4,7.5,12.5,11.5,15.1,30.6,13.5,12.8,21.4,32247,40184,41117
53,299,"045 Cloonee, Co. Longford",5.1,9.5,9.2,8,20.3,31.8,16.1,12,15.4,28759,41994,43467
19,153,"046 Corboy, Co. Longford",10.7,5.9,11.3,11.1,9.8,29.6,21.5,12.4,19,26858,49006,48648
27,167,"047 Drumgort, Co. Longford",7.1,12.2,8.6,8.8,16.4,31.0,16.0,8.8,33.1,27568,33588,31738
80,572,"048 Drumlish, Co. Longford",4.2,6.7,9.9,9.6,17.1,33.6,18.9,18.3,12.9,24557,35184,34596
19,179,"049 Killashee, Co. Longford",7,4.7,10.8,8.2,17.1,34.2,17.9,16.3,13.9,27206,36558,37562
8,96,"050 Killoe, Co. Longford",14.8,11,14.3,5.8,13.4,27.0,13.7,20,32.4,24251,36507,28533
17,103,"052 Mountdavis, Co. Longford",7.7,2.5,11.2,8.4,20,32.6,17.5,3.8,15,33269,48755,56448
50,321,"053 Moydow, Co. Longford",8.3,5.9,10.9,7.2,17.9,36.1,13.6,9.8,12.3,28597,45495,47824
47,342,"054 Newtown Forbes, Co. Longford",4.3,5.3,12.5,7.5,10.2,37.9,22.3,23,15.9,26443,25636,32076
100,560,"055 Rathcline, Co. Longford",5,7.7,8.3,9,19.5,35.0,15.4,15.5,17.5,27494,40713,34679
481,"3,877","001 Fair Gate, Co. Louth",0.5,4.5,13.3,8.6,12.6,37.5,23.0,20.7,17.9,24540,32600,33556
208,"1,751","002 St. Laurence Gate, Co. Louth",0.7,2.9,14.7,12.6,12.9,30.6,25.7,12.3,13.8,25756,42944,44102
305,"2,392","003 West Gate, Co. Louth",0.5,4.5,16.6,9.3,14.4,27.4,27.3,19.5,19.2,24924,36669,35490
81,763,"004 Dundalk Urban No. 1, Co. Louth",1.3,3.8,16,10.9,15.5,27.0,25.4,23.1,26.5,25200,34583,27699
54,423,"005 Dundalk Urban No. 2, Co. Louth",2.1,7.5,19,12.3,17.3,20.9,20.9,26.7,19.9,21000,30924,27765
92,670,"006 Dundalk Urban No. 3, Co. Louth",1.2,4.5,19.4,13.5,10.4,30.5,20.4,17,18.4,25750,36000,31059
336,"2,523","007 Dundalk Urban No. 4, Co. Louth",0.5,3.5,16.7,10.7,14.4,32.1,22.1,16.6,14.1,26748,40281,39577
198,"1,178","008 Ardee Rural, Co. Louth",6.5,7.5,12,10.1,12.4,32.2,19.4,7.6,15,29239,39111,53610
302,"1,816","009 Ardee Urban, Co. Louth",1,7.7,10.1,9.1,14.9,34.5,22.8,22.9,13.3,26256,34821,36040
114,696,"010 Castlebellingham, Co. Louth",2.7,5.6,13.3,11.1,14.8,28.4,24.2,13.9,14.1,29430,45141,43077
47,311,"011 Clonkeen, Co. Louth",10.4,7.3,9.3,14.2,11.3,26.3,21.3,9.3,15.4,28017,46192,50305
120,792,"012 Collon, Co. Louth",3.5,7.2,14.1,9.3,17.5,29.8,18.7,12.4,12.2,28336,41100,48048
47,260,"013 Dromin, Co. Louth",9.1,10.8,10.8,12.8,11.8,27.4,17.3,7.2,12.9,33201,43787,54377
160,917,"014 Dromiskin, Co. Louth",2.3,4.2,12.7,11.3,16.8,31.5,21.2,13.4,12.2,28395,45855,48304
91,559,"015 Drumcar, Co. Louth",5.8,4.4,10.4,9.7,17.4,30.4,22.0,10.6,14.8,32859,39124,48767
193,"1,163","016 Dunleer, Co. Louth",2.2,7.4,12.5,10.6,17.3,25.5,24.6,12.2,14.7,27056,39290,43103
46,259,"017 Stabannan, Co. Louth",8.5,7.3,14.5,12.4,14.1,23.6,19.6,5.6,15.2,31274,45299,54769
76,454,"018 Tallanstown, Co. Louth",6.4,12.8,8.8,10.7,11.3,29.2,20.7,13.8,12.9,24206,39526,44312
171,860,"019 Ballymascanlan, Co. Louth",2.6,5.6,14.4,9.4,11.3,30.3,26.3,10.1,14.9,28777,44877,47238
57,292,"020 Barronstown, Co. Louth",6.6,4.9,15.1,12.7,15.6,31.9,13.3,7,18.3,29414,42574,48568
128,778,"021 Carlingford, Co. Louth",2.3,4.5,12.6,15.3,14.8,24.8,25.7,17.7,13.4,23859,44345,32978
71,437,"022 Castlering, Co. Louth",8.2,5.5,14.2,10.2,8.4,31.8,21.6,8.4,11.7,31056,53279,55929
67,326,"024 Creggan Upper, Co. Louth",5.1,9.5,12.5,8.7,11.7,28.6,23.8,11.6,21.5,26761,34220,34967
44,313,"025 Darver, Co. Louth",7.5,6.5,11.9,12.5,10.1,30.3,21.3,10.6,16.8,30959,44536,51642
78,465,"026 Drummullagh, Co. Louth",2.4,8.5,10.7,11.6,20.5,23.8,22.5,23.3,20.3,23653,49268,28721
69,392,"028 Faughart, Co. Louth",3.9,10.1,13.2,10.3,12.1,27.6,22.8,13.7,16,26121,54003,42830
77,486,"029 Greenore, Co. Louth",4.1,5.3,12.1,11.6,16.3,23.6,27.0,10.6,14.1,29128,42770,48767
78,482,"031 Jenkinstown, Co. Louth",3.2,6.1,12.8,11.9,12.3,25.6,28.1,5.9,15.1,30830,46635,49407
55,340,"032 Killanny, Co. Louth",9.9,9.8,10.7,10.6,15.7,23.3,20.1,10.2,11.8,27763,33133,50217
100,626,"033 Louth, Co. Louth",5.8,9.6,11.4,11.7,10.3,34.7,16.6,13.9,16.4,28539,43742,41666
55,356,"034 Mansfieldstown, Co. Louth",5.6,9.5,11.8,11.6,13.6,26.6,21.4,11.4,12.5,29772,35936,52135
89,544,"035 Rathcor, Co. Louth",4.4,5.7,14.1,9.4,15.2,24.3,26.9,12,15.9,28380,33444,45271
77,384,"036 Ravensdale, Co. Louth",3.8,6.4,15.6,13.5,13.1,27.2,20.3,9.9,17.1,28013,54647,47191
234,"1,323","037 Clogher, Co. Louth",4.2,6.9,11.3,10.6,12.4,33.3,21.3,11.3,11.9,27428,42183,46415
72,398,"038 Dysart, Co. Louth",6.4,5.6,10.3,11,13.3,28.1,25.2,5.6,11.5,32616,51705,59455
112,599,"039 Monasterboice, Co. Louth",3.9,7.4,11.7,11.8,10.8,30.7,23.7,5.4,14.6,33465,50527,58819
125,757,"040 Mullary, Co. Louth",3.9,7.1,13,10.1,15.2,30.5,20.3,5.5,10,33311,43936,61580
235,"1,471","042 Termonfeckin, Co. Louth",2.8,4.3,14.6,14.9,12.4,31.1,19.8,8.8,9.5,32379,45838,56846
293,"2,699","047 St. Mary's (Part Urban), Co. Louth",0.5,3.2,16.4,12.2,12,31.0,24.7,18.8,6.8,26105,44490,46580
115,704,"001 Ceannanus Mór (Kells) Urban, Co. Meath",3.3,9.3,12.6,12.5,15.3,23.7,23.3,30.3,16,21413,32511,26918
215,"1,580","002 Navan Urban, Co. Meath",2.3,5,15.5,9,17.3,27.4,23.4,20.5,14.1,21580,33846,33492
80,592,"003 Trim Urban, Co. Meath",2.4,6.3,15.6,9.9,12.6,30.3,23.0,14.7,22.8,20800,32928,29764
76,526,"004 Drumcondra, Co. Meath",10.4,7.2,12.1,9.8,12,23.9,24.5,11.8,16.1,26335,34540,43953
41,264,"005 Grangegeeth, Co. Meath",6.9,13.3,15.8,9.8,15.1,21.3,17.9,10,14.7,24773,46500,47514
85,536,"006 Killary, Co. Meath",8.5,8.6,9.3,10.7,16.2,25.7,21.1,8.6,17.4,28124,38218,48016
105,496,"007 Culmullin, Co. Meath",6.8,7.2,18.8,14.4,7.5,28.8,16.5,1.5,9.3,33057,47566,72394
775,"5,569","008 Donaghmore, Co. Meath",0.8,5.8,17.8,15.8,8.7,24.5,26.5,8.2,7.7,28573,39917,58339
656,"4,643","009 Dunboyne, Co. Meath",1.1,5.4,19.1,18.4,9.4,27.0,19.4,5.3,7.8,33533,43604,67564
421,"2,611","010 Dunshaughlin, Co. Meath",1.3,5.8,16.1,17.8,8.9,29.9,20.2,7.1,9.1,31931,44278,61505
221,"1,718","011 Kilbrew, Co. Meath",2.1,5.2,18.4,15.5,7.5,24.0,27.2,6.7,6.6,30019,40276,62015
60,531,"012 Killeen, Co. Meath",4.2,6,22.1,14.4,6.8,29.4,16.9,4.2,10,29868,44631,62268
118,718,"013 Kilmessan, Co. Meath",5.1,7.8,15.4,14.3,11.3,28.2,18.0,6.2,9.4,29645,41452,54163
113,726,"014 Kilmore, Co. Meath",3.6,8.1,14.4,17.7,9.4,28.6,18.2,5.6,9.2,31867,42483,67309
74,438,"015 Rathfeigh, Co. Meath",4.2,8,13.2,16,10.5,28.0,20.1,5.3,11.5,32170,45455,68677
629,"4,859","016 Ratoath, Co. Meath",0.5,4.8,17.2,19.4,8.7,24.8,24.6,6,6,35167,47568,71154
70,445,"017 Rodanstown, Co. Meath",5.6,7.8,13.2,15.7,12.3,27.6,17.8,3.9,12.8,35535,48061,65460
125,662,"018 Skreen, Co. Meath",5.5,8.6,14.3,18,9.6,24.9,19.1,4,12.3,32661,45793,58849
47,275,"019 Ardagh, Co. Meath",7.7,11.4,10.9,9.1,22.8,21.0,17.1,12.7,15.4,27825,36970,46259
10,77,"020 Ballinlough, Co. Meath",11.8,9,11.3,10.9,17.8,19.4,19.8,13.4,16.4,22699,33112,39054
33,210,"021 Balrathboyne, Co. Meath",7.3,10.3,12.6,11.1,14.2,27.5,17.1,9.8,12.1,27852,46870,48837
15,148,"022 Boherboy, Co. Meath",6.3,11,12.6,8.3,12.1,25.4,24.3,5.1,13.1,28525,39134,53020
15,114,"023 Burry, Co. Meath",8.6,9,11.8,13.4,17.3,24.2,15.7,6.8,17,32949,34801,48990
44,185,"024 Carrickleck, Co. Meath",7,7.3,12.3,6.8,27.8,21.0,17.7,8.3,15.4,30933,38127,51517
34,188,"025 Castlekeeran, Co. Meath",9.8,8.5,11.8,7.2,18,24.5,20.2,10,16.7,25729,33800,43567
27,182,"027 Cruicetown, Co. Meath",12.7,10.7,8.7,8.1,17.8,22.9,19.1,10.9,11.6,29432,30789,55392
28,160,"028 Girley, Co. Meath",9.1,12.6,13.3,13,11.3,23.6,17.0,11.3,17.3,22218,48862,38966
47,284,"029 Kilmainham, Co. Meath",9,9.3,7.5,7.1,24.9,24.5,17.7,18.3,22,27214,32780,37231
26,156,"030 Kilskeer, Co. Meath",10.6,10.1,11.4,9.4,14.6,26.9,17.1,9,14.2,27471,46686,50288
27,158,"031 Loughan, Co. Meath",9.2,9.7,17,10.1,13.2,23.6,17.1,11.8,20.6,30243,42675,39935
39,180,"032 Maperath, Co. Meath",7.5,7.9,14.7,19.3,10,28.8,11.9,12.5,17.9,30037,48637,42775
56,322,"033 Martry, Co. Meath",5.7,8.5,11.8,9.9,16.6,28.9,18.6,6.7,16.1,30655,37275,55123
25,125,"034 Moybolgue, Co. Meath",10.4,11.9,8.5,3.6,21.1,25.0,19.6,8.8,13.8,25810,30764,50659
43,270,"035 Moynalty, Co. Meath",11.1,8.7,11.8,8.2,13.7,29.3,17.2,10.3,17.9,27433,37518,42339
34,190,"036 Newcastle, Co. Meath",10.8,7.3,9.8,7,23.1,22.1,19.9,6.8,15.6,32020,35700,50589
55,357,"037 Newtown, Co. Meath",3.2,13.5,15.1,8.4,16.7,23.9,19.1,15.3,9.1,25001,35150,44793
34,336,"038 Nobber, Co. Meath",7.2,7.8,9.9,9.5,17.2,26.0,22.4,14,15.1,25414,34443,43616
23,89,"039 Posseckstown, Co. Meath",10.4,13.7,17.4,8.2,17.3,19.2,13.8,7.6,21.2,25116,43209,45786
27,164,"040 Staholmog, Co. Meath",10.8,10.5,10.8,9.5,17.8,27.5,13.2,11.9,18.5,25286,39058,41255
63,389,"041 Tailtin, Co. Meath",6.7,9.9,12.1,13.4,17,27.4,13.5,10.2,17.1,24657,36431,48075
21,144,"042 Trohanny, Co. Meath",10,9.5,13.3,7.4,18.2,25.6,16.1,8.1,23.4,26174,35527,41502
130,845,"043 Ardcath, Co. Meath",6.9,8.1,15,13.4,13.3,18.7,24.5,8.1,13.5,28318,34259,51207
283,"2,234","044 Duleek, Co. Meath",1.8,10.7,14.2,10.7,16.1,22.7,23.8,12.2,11.4,26785,39450,46389
486,"3,956","045 Julianstown, Co. Meath",1.4,4.3,18.1,17,7.3,27.3,24.6,12.2,11.4,27825,41804,49834
36,245,"046 Mellifont, Co. Meath",13.1,7.5,11.4,12.2,13.6,25.1,17.2,4.9,16.9,24147,54064,53862
709,"5,019","047 St. Mary's (Part Rural), Co. Meath",0.4,4,16.9,13.6,10.7,29.3,25.3,7.6,8.2,29954,43171,56955
290,"2,132","048 Stamullin, Co. Meath",2.8,5.5,15.4,16,10.6,24.7,25.0,7.9,7.6,30308,43608,60842
149,862,"049 Ardbraccan, Co. Meath",3.7,9.1,14.2,9,18.5,27.5,18.0,8.5,15.1,29718,40174,53883
68,447,"050 Ardmulchan, Co. Meath",5.6,10.3,10.2,15.3,16.6,22.2,19.7,3.7,12.1,33358,42885,61028
74,475,"051 Bective, Co. Meath",4.1,8.4,10.1,11.6,13.9,31.2,20.8,5,12.3,26280,57485,57858
68,408,"052 Castletown, Co. Meath",8.7,8.8,11.2,8,17.1,24.9,21.2,11.9,12.5,25259,38933,51020
127,764,"053 Domhnach Phádraig, Co. Meath",5.9,11.4,11.4,9.1,13.5,30.2,18.5,8.1,12,32031,41040,56432
129,925,"054 Kentstown, Co. Meath",3.6,7.4,12.6,12.7,16.8,25.3,21.5,8.9,11.1,29281,41644,59033
85,517,"056 Painestown, Co. Meath",5.1,7.1,13.7,12.9,17.6,25.2,18.3,7.1,13.6,30151,43232,54868
38,266,"057 Rathkenny, Co. Meath",7.3,11.5,10.3,7.8,14.1,24.2,24.8,12.1,16.8,32380,36456,44428
108,775,"058 Slane, Co. Meath",3.2,5.2,13.8,14.9,13.1,28.0,21.9,12.8,15.3,27834,47902,47822
51,277,"059 Stackallan, Co. Meath",9.8,8.3,12.9,14.2,10.1,24.9,19.8,6.5,14.5,31093,41099,54839
101,494,"060 Tara, Co. Meath",5.7,10.4,10,16.6,12.7,26.5,18.1,4.8,14.4,30531,45793,59407
27,226,"061 Crossakeel, Co. Meath",10.2,11.1,11.6,14.7,9.6,21.9,20.8,13.2,13.2,28267,39745,42542
23,138,"062 Crosskeys, Co. Meath",5.3,8.5,14,3.1,21.7,27.2,20.2,15.3,15.3,28240,45075,44444
28,133,"063 Killallon, Co. Meath",13.3,11.5,10.4,7.9,16.3,20.2,20.3,4.8,18.3,28815,46306,49564
29,162,"064 Killeagh, Co. Meath",15.2,6,9.2,9.5,18.6,23.1,18.4,11.2,23,25027,36070,40070
17,88,"065 Knocklough, Co. Meath",10.3,8.7,15.7,9.2,23.1,16.1,17.0,10.7,16,25368,35716,40213
27,177,"066 Moylagh, Co. Meath",9.2,7,8.8,8.1,31,20.2,15.7,12.5,16.4,26860,33932,36239
