Highest Education Level,Total Hours Worked,Electoral Division,"Agriculture, Forestry and Fishing (A) (%)",Construction (F) (%),"Financial, Real Estate, Administrative and Services (K,L,N,S) (%)","ICT, Scientific and Recreation (J,M,R) (%)","Industry (B,C,D,E) (%)","Public Service, Education and Health (O,P,Q) (%)","Wholesale, Transport and Accomodation (G,H,I) (%)",% Receiving SW,% Pension is Majority,Income per commuter for <30mins,Income per commuter for >30mins,Household Income
13,133,"101 Carrig, Co. Kerry",18.1,3.1,9.6,14.5,19,22.6,13.1,14.7,27.3,29552,36168,30978
39,260,"102 Causeway, Co. Kerry",9.1,6.2,10.5,9.7,18.7,31.2,14.5,21.8,15.2,26570,33665,34662
25,103,"103 Cloontubbrid, Co. Kerry",9.6,5.6,9,16.1,19.5,22.8,17.4,12,25.9,23605,46821,34614
39,204,"104 Drommartin, Co. Kerry",10,8,10.1,11.4,20.2,25.5,14.7,11.7,23.5,30207,38774,40343
30,197,"105 Duagh, Co. Kerry",6.9,8.1,5.9,15.4,25.9,23.5,14.4,16.1,15.6,27904,39747,39183
41,192,"106 Ennismore, Co. Kerry",7,10.2,8.5,7.6,15,32.2,19.6,20.1,24.7,24049,36871,32337
15,98,"107 Gullane, Co. Kerry",12,11.1,8.8,12.4,13.8,23.0,18.9,14.9,23.8,21175,38653,30120
26,139,"108 Gunsborough, Co. Kerry",9.5,8.6,7.5,14.7,15.3,27.9,16.6,18.5,17.8,35280,40262,38773
47,381,"109 Kilfeighny, Co. Kerry",8.9,10.9,11.5,11.1,12.7,26.9,18.0,14.3,18.6,28665,36187,35779
106,663,"110 Killehenny, Co. Kerry",4.7,8.8,10.8,11.2,8.8,35.0,20.8,21.6,22.8,24993,41738,28429
19,197,"111 Killury, Co. Kerry",17.6,7.7,10,10.8,16.9,25.6,11.3,13.6,26.6,23240,34638,34435
36,301,"112 Kilmeany, Co. Kerry",8.7,8.1,6.7,16.3,12.3,33.0,15.0,18.6,15.5,31113,35369,39998
15,80,"113 Kilshenane, Co. Kerry",12.9,16.6,10.6,4.4,9.6,31.5,14.5,21.5,30.1,..,..,30199
15,165,"114 Kiltomy, Co. Kerry",14.3,9.4,10.5,3.3,10.6,30.9,21.0,21.3,22.7,26732,43628,34196
58,215,"115 Leitrim, Co. Kerry",7,11.7,7.6,9.3,28.4,24.4,11.6,12,18.2,32176,40091,45683
41,226,"116 Lislaughtin, Co. Kerry",9.8,8.2,7.6,13.3,22.4,24.5,14.3,14.8,24.9,23636,42003,33266
24,143,"117 Lisselton, Co. Kerry",12.6,9.9,8.4,17.4,13.6,27.6,10.4,16.3,25.6,26004,37441,38359
122,607,"118 Listowel Rural, Co. Kerry",6,7.7,10.2,14.3,15.1,30.5,16.2,12.2,18.5,29697,43169,41352
58,374,"119 Lixnaw, Co. Kerry",7.4,7.5,8.3,14.5,9.1,30.6,22.6,21.9,12.3,22423,29783,32513
40,226,"120 Moynsha, Co. Kerry",8.5,5.8,10.7,10.6,23.2,24.7,16.4,17.3,20,29301,36833,40653
61,420,"121 Newtownsandes, Co. Kerry",12.2,10.5,8.2,10.1,16,24.6,18.5,19.3,17.1,26069,37536,36082
24,158,"122 Rathea, Co. Kerry",15.6,6.1,7.2,16.8,10.3,26.6,17.3,10.7,25.8,..,..,36495
12,91,"123 Shronowen, Co. Kerry",14.5,9.5,17.4,3.8,10.7,31.1,13.1,11.1,30,29094,41890,34415
61,269,"124 Tarbert, Co. Kerry",5.2,9.8,7.1,11,32.9,21.3,12.8,14.3,22.1,30823,39654,35574
39,171,"125 Tarmon, Co. Kerry",8.3,7.8,7.6,10.4,26.1,29.0,10.8,12.4,27.1,28037,37998,39550
36,195,"126 Trienearagh, Co. Kerry",16.6,8,7.8,8.5,15.6,26.4,17.1,16.4,17,26106,33034,37588
21,134,"127 Urlee, Co. Kerry",11.6,7.7,10.1,15.7,12.6,28.1,14.1,12.4,30.3,31951,54557,33031
68,476,"128 Abbeydorney, Co. Kerry",9,8,7.2,6.9,11.4,31.8,25.6,14.1,16.8,24595,36347,40208
90,589,"129 Arabela, Co. Kerry",4.2,6.5,9,11.7,8.6,36.3,23.7,10.3,14.8,30515,44569,48934
53,348,"130 Ardfert, Co. Kerry",4.2,8.6,10.9,8.8,9.3,35.7,22.5,19.8,17.6,23955,49949,32315
23,157,"131 Ballyegan, Co. Kerry",7,9.8,9.2,10.2,14.8,31.3,17.7,5.7,14.6,30597,33000,52626
94,538,"132 Ballyheige, Co. Kerry",8.1,10.4,8.9,10.4,14.8,25.9,21.5,19,20.5,23620,26103,34675
113,675,"133 Ballynahaglish, Co. Kerry",4.4,5.3,12,12.3,10.4,39.5,16.2,8.8,16,33794,53009,46712
27,193,"134 Ballynorig, Co. Kerry",14.8,5.2,11.5,11.1,12.1,27.9,17.3,7.5,16.1,28896,45675,53139
123,674,"135 Ballyseedy, Co. Kerry",2.9,5.2,9.2,8.3,13.4,38.7,22.3,18.5,11.1,28236,30685,41583
44,297,"136 Banna, Co. Kerry",8.8,8.7,8.8,10.9,10.6,34.5,17.8,14.8,17.1,29351,34463,38994
27,135,"137 Baurtregaum, Co. Kerry",3.1,6.8,13.5,12.8,7.1,38.3,18.3,5,25,..,..,40236
36,209,"139 Boolteens, Co. Kerry",7.6,9.7,10.3,10.7,20.3,21.2,20.1,9,22.2,29074,31340,41629
46,278,"140 Brosna, Co. Kerry",11.1,8.5,10,11.3,12,28.2,18.8,15.7,23.9,24726,36342,32241
16,181,"141 Carker, Co. Kerry",12.5,9.6,11.3,11.1,12,24.6,18.8,13.1,29,24962,33701,35924
216,"1,329","142 Castleisland, Co. Kerry",4.5,6.2,14.6,8.1,13.9,28.7,23.9,18.2,16.6,25746,31920,35962
83,616,"143 Clogherbrien, Co. Kerry",3.6,5.8,12.9,8.7,10.4,42.5,16.1,6.9,13.9,34580,44050,54978
17,130,"144 Cordal, Co. Kerry",9.4,7.4,10.5,9.1,7.8,36.9,18.8,13.3,21,28490,37755,42684
23,147,"145 Crinny, Co. Kerry",12.9,8.6,12.5,9.5,9,30.5,17.0,7.3,18.3,26023,36452,47948
13,87,"146 Derreen, Co. Kerry",17.7,16.4,19.6,10.8,9,15.7,11.0,7.4,20.6,28782,40219,39227
60,292,"147 Doon, Co. Kerry",4,5.8,11.9,12.1,11.4,36.8,18.1,7.3,11.4,34001,48019,55055
28,159,"148 Gneeves, Co. Kerry",11.8,13.1,13.2,10.6,14.6,20.3,16.3,15.6,18.4,24211,30065,32513
41,231,"149 Kerryhead, Co. Kerry",16.6,14.6,8,8.6,10.8,24.4,17.0,11,22.9,26130,30421,35806
13,108,"150 Kilflyn, Co. Kerry",8.7,13.6,7.8,14.3,11.4,26.0,18.4,15.5,23.3,..,..,31460
40,282,"151 Kilgarrylander, Co. Kerry",6.2,15,11.8,8.7,8.8,32.6,16.8,11.2,21.1,20656,23593,36789
17,109,"152 Kilgobban, Co. Kerry",9.1,8.8,9.3,11.1,11.5,33.8,16.4,12.9,16.8,23467,30797,39857
24,141,"153 Killahan, Co. Kerry",10.5,6.4,7.3,11.4,11.5,26.6,26.2,10,29.2,27036,30475,33660
17,140,"154 Kilmurry, Co. Kerry",11.8,9.6,10.9,9.3,16.1,25.7,16.5,13,16.7,28717,29606,40058
40,229,"155 Kiltallagh, Co. Kerry",8,12.7,10.9,6.4,15.7,27.7,18.5,13.6,21.8,27996,28469,36682
28,141,"156 Knockglass, Co. Kerry",5.5,5.3,9.6,10.4,12.4,41.9,14.9,10.7,13.1,34050,46744,41158
43,272,"157 Knocknagashel, Co. Kerry",10.8,8.1,11.2,5.1,16,29.6,19.1,16.6,18.1,25384,33261,39730
29,182,"158 Lackabaun, Co. Kerry",9.9,5.3,8.4,5,15.1,35.0,21.2,14.3,16.9,27632,37212,43907
20,203,"159 Millbrook, Co. Kerry",15.6,9,15,8.4,13.3,25.7,13.0,7.5,18.9,28533,36200,44191
7,59,"160 Mount Eagle, Co. Kerry",12.7,3,10.3,9.3,11.9,31.1,21.5,23.1,20,..,..,32524
