"Proportion of earned income sectors by Year, Electoral Division and"
"statistical indicator"

" "," ","Agriculture, Forestry and Fishing (A) (%)","Construction (F) (%)","Financial, Real Estate, Administrative and Services (K,L,N,S) (%)","ICT, Scientific and Recreation (J,M,R) (%)","Industry (B,C,D,E) (%)","Public Service, Education and Health (O,P,Q) (%)","Wholesale, Transport and Accomodation (G,H,I) (%)"
"2016"
" ","067 Inns Quay B, Dublin City",0.5,3.3,20.1,22.6,3.0,30.1,20.3
" ","068 Inns Quay C, Dublin City",..,2.9,21.1,24.0,3.7,24.7,23.7
" ","069 Kilmore A, Dublin City",..,4.4,17.7,11.9,8.2,32.3,25.5
" ","070 Kilmore B, Dublin City",..,6.1,15.2,9.8,8.9,30.8,29.2
" ","071 Kilmore C, Dublin City",..,6.4,13.8,10.3,9.0,27.4,33.0
" ","072 Kilmore D, Dublin City",0.9,4.6,19.7,10.8,8.9,28.1,27.1
" ","073 Mountjoy A, Dublin City",..,3.1,28.6,27.6,2.9,18.3,19.6
" ","074 Mountjoy B, Dublin City",0.1,4.6,29.9,17.6,3.3,16.3,28.2
" ","075 North City, Dublin City",0.4,1.5,24.3,33.8,2.6,15.1,22.3
" ","076 North Dock A, Dublin City",..,3.2,22.5,30.8,3.4,24.5,15.6
" ","077 North Dock B, Dublin City",0.2,1.7,27.7,38.2,3.0,15.7,13.5
" ","078 North Dock C, Dublin City",0.4,2.0,28.7,41.2,2.7,14.7,10.2
" ","079 Phoenix Park, Dublin City",0.6,1.6,25.9,28.7,6.7,26.8,9.7
" ","080 Priorswood A, Dublin City",0.9,6.7,15.3,9.7,12.5,24.5,30.4
" ","081 Priorswood B, Dublin City",1.2,6.4,15.8,7.5,14.5,25.3,29.3
" ","082 Priorswood C, Dublin City",..,5.0,18.1,10.7,8.7,24.0,33.5
" ","083 Priorswood D, Dublin City",0.1,5.9,18.6,9.7,9.1,25.8,30.9
" ","084 Priorswood E, Dublin City",0.2,7.5,15.9,10.5,11.2,24.9,29.8
" ","085 Raheny-Foxfield, Dublin City",..,4.0,21.4,21.0,4.2,29.1,20.4
" ","086 Raheny-Greendale, Dublin City",0.1,5.4,19.2,19.1,7.4,27.0,22.0
" ","087 Raheny-St. Assam, Dublin City",0.4,1.4,27.9,23.8,5.6,25.5,15.4
" ","088 Rotunda A, Dublin City",..,4.1,25.1,20.3,2.8,19.0,28.7
" ","089 Rotunda B, Dublin City",..,2.0,26.2,33.5,3.3,16.3,18.7
" ","090 Whitehall A, Dublin City",0.7,2.1,19.6,22.5,5.3,34.0,15.8
" ","091 Whitehall B, Dublin City",0.4,3.4,18.5,16.1,5.3,36.1,20.3
" ","092 Whitehall C, Dublin City",..,3.2,18.4,17.2,4.1,32.9,24.1
" ","093 Whitehall D, Dublin City",0.4,2.8,20.4,20.5,4.2,37.0,14.8
" ","094 Chapelizod, Dublin City",0.3,3.1,17.5,23.4,5.2,35.7,14.7
" ","095 Cherry Orchard A, Dublin City",0.1,5.5,15.7,12.3,7.6,29.5,29.4
" ","096 Carna, Dublin City",..,6.1,16.9,10.0,9.1,27.6,30.3
" ","097 Cherry Orchard C, Dublin City",..,5.4,20.3,16.8,7.5,20.9,29.1
" ","098 Crumlin A, Dublin City",0.6,4.1,18.3,14.2,7.9,31.1,23.7
" ","099 Crumlin B, Dublin City",0.1,4.4,18.4,16.2,5.0,31.1,24.8
" ","100 Crumlin C, Dublin City",..,2.3,24.4,22.3,5.4,28.7,17.0
" ","101 Crumlin D, Dublin City",0.4,4.2,16.7,17.7,8.2,31.8,21.0
" ","102 Crumlin E, Dublin City",0.6,5.1,16.2,15.0,10.2,32.7,20.1
" ","103 Crumlin F, Dublin City",0.6,2.7,16.7,14.3,7.3,38.4,19.9
" ","104 Decies, Dublin City",0.8,4.3,14.7,11.1,5.6,37.7,25.7
" ","105 Drumfinn, Dublin City",0.6,5.5,16.2,9.5,8.5,29.1,30.5
" ","106 Inchicore A, Dublin City",..,3.2,15.5,23.4,7.3,32.7,18.0
" ","107 Inchicore B, Dublin City",..,7.1,19.1,13.7,6.9,23.7,29.5
" ","108 Kilmainham A, Dublin City",0.8,3.7,17.1,14.2,7.2,32.8,24.2
" ","109 Kilmainham B, Dublin City",0.1,1.5,19.8,26.4,5.3,33.5,13.5
" ","110 Kilmainham C, Dublin City",0.1,2.7,20.4,24.3,4.9,30.9,16.8
" ","111 Kimmage A, Dublin City",..,6.8,19.0,14.4,6.0,32.3,21.5
" ","112 Kimmage B, Dublin City",0.1,4.0,17.2,16.2,7.9,31.3,23.4
" ","113 Kimmage C, Dublin City",0.4,2.9,25.8,27.7,3.1,29.6,10.4
" ","114 Kimmage D, Dublin City",0.7,4.0,22.3,22.6,5.5,29.1,15.9
" ","115 Kimmage E, Dublin City",0.2,3.6,21.6,18.8,6.1,30.0,19.6
" ","116 Kylemore, Dublin City",..,6.4,15.7,7.7,9.7,27.8,32.7
" ","117 Mansion House A, Dublin City",0.4,1.9,22.7,40.9,3.1,17.3,13.8
" ","118 Mansion House B, Dublin City",..,0.5,23.8,35.0,4.7,20.7,15.4
" ","119 Merchants Quay A, Dublin City",..,2.1,22.5,30.3,3.6,20.2,21.2
" ","120 Merchants Quay B, Dublin City",..,2.1,21.9,32.2,2.4,22.6,18.8
" ","121 Merchants Quay C, Dublin City",0.4,1.9,21.5,32.8,2.7,22.1,18.5
" ","122 Merchants Quay D, Dublin City",..,2.0,17.9,34.2,3.2,30.5,12.2
" ","123 Merchants Quay E, Dublin City",0.8,1.5,19.4,34.3,5.1,24.1,14.7
" ","124 Merchants Quay F, Dublin City",..,3.3,22.9,25.1,4.0,25.9,18.8
" ","125 Pembroke East A, Dublin City",..,2.8,24.5,37.1,3.7,18.5,13.5
" ","126 Pembroke East B, Dublin City",0.3,1.7,24.1,33.3,4.7,26.9,9.1
" ","127 Pembroke East C, Dublin City",0.2,0.8,26.0,34.5,3.3,26.9,8.4
" ","128 Pembroke East D, Dublin City",0.3,0.9,22.3,32.3,2.9,29.6,11.7
" ","129 Pembroke East E, Dublin City",0.3,1.7,27.2,37.7,3.3,22.1,7.6
" ","130 Pembroke West A, Dublin City",0.2,1.0,24.3,48.5,3.3,15.8,7.0
" ","131 Pembroke West B, Dublin City",0.4,1.8,25.3,41.9,3.4,19.7,7.6
" ","132 Pembroke West C, Dublin City",0.2,0.6,26.4,43.4,2.1,19.3,8.0
" ","133 Rathfarnham, Dublin City",0.2,1.4,22.6,27.8,3.7,33.9,10.4
" ","134 Rathmines East A, Dublin City",0.2,0.6,27.0,36.6,3.0,22.4,10.2
" ","135 Rathmines East B, Dublin City",0.2,1.0,26.3,38.2,3.7,22.2,8.4
" ","136 Rathmines East C, Dublin City",0.4,1.3,24.0,35.5,4.0,26.9,7.8
" ","137 Rathmines East D, Dublin City",0.3,1.0,23.4,37.5,3.5,24.4,9.8
" ","138 Rathmines West A, Dublin City",0.2,1.1,24.2,34.7,3.4,23.7,12.7
" ","139 Rathmines West B, Dublin City",0.2,1.4,25.5,36.6,3.2,21.3,11.9
" ","140 Rathmines West C, Dublin City",0.4,1.5,21.8,36.6,3.7,25.1,10.9
" ","141 Rathmines West D, Dublin City",0.1,1.7,23.0,31.8,2.5,29.3,11.6
" ","142 Rathmines West E, Dublin City",0.3,1.8,22.7,31.0,4.5,29.7,10.1
" ","143 Rathmines West F, Dublin City",0.4,1.3,21.2,36.7,3.2,27.0,10.2
" ","144 Royal Exchange A, Dublin City",0.5,0.9,20.1,39.3,3.5,21.0,14.7
" ","145 Royal Exchange B, Dublin City",1.6,3.6,24.5,30.4,3.6,18.2,18.1
" ","146 St. Kevin's, Dublin City",0.3,1.1,22.8,41.1,2.5,19.6,12.6
" ","147 South Dock, Dublin City",0.1,0.8,22.9,52.2,3.1,13.4,7.5
" ","148 Terenure A, Dublin City",0.3,2.0,19.1,28.0,4.5,33.2,12.9
" ","149 Terenure B, Dublin City",0.3,2.2,18.6,28.5,5.0,34.1,11.3
" ","150 Terenure C, Dublin City",0.1,2.4,22.9,24.7,5.3,30.1,14.4
" ","151 Terenure D, Dublin City",..,4.0,24.6,29.8,6.0,24.1,11.5
" ","152 Ushers A, Dublin City",0.1,1.2,19.0,36.7,3.5,27.3,12.2
" ","153 Ushers B, Dublin City",0.9,3.0,21.6,25.7,4.1,25.8,18.9
" ","154 Ushers C, Dublin City",0.5,2.7,22.1,21.7,4.2,27.3,21.5
" ","155 Ushers D, Dublin City",0.2,3.0,19.2,23.7,3.4,34.5,16.0
" ","156 Ushers E, Dublin City",0.1,2.7,23.3,19.4,4.0,33.6,16.9
" ","157 Ushers F, Dublin City",..,1.4,16.6,26.7,3.9,40.6,10.9
" ","158 Walkinstown A, Dublin City",0.1,3.6,15.9,17.2,7.7,35.6,19.9
" ","159 Walkinstown B, Dublin City",0.7,5.1,17.9,17.5,7.8,28.0,22.8
" ","160 Walkinstown C, Dublin City",..,6.5,17.7,15.7,10.1,26.7,23.3
" ","161 Wood Quay A, Dublin City",0.7,3.6,18.4,24.2,3.6,27.4,22.0
" ","162 Wood Quay B, Dublin City",0.5,1.6,19.1,36.2,2.9,26.8,12.8
" ","001 Ballinascorney, South Dublin",2.2,8.6,16.7,14.8,9.6,23.7,24.4
" ","002 Ballyboden, South Dublin",0.4,3.6,20.7,22.1,6.6,29.7,16.9
" ","003 Bohernabreena, South Dublin",0.7,7.0,16.0,15.4,10.8,24.3,25.7
" ","004 Clondalkin-Ballymount, South Dublin",..,8.2,17.4,17.3,9.5,21.9,25.7
" ","005 Clondalkin-Cappaghmore, South Dublin",..,4.4,15.7,10.6,7.7,32.2,29.3
