Electoral Division,Highest Education Level,Total Hours Worked
047 Dún Laoghaire-Sallynoggin East,131,"1,107"
048 Dún Laoghaire-Sallynoggin South,81,583
049 Dún Laoghaire-Sallynoggin West,128,"1,201"
050 Dún Laoghaire-Sandycove,219,"1,378"
051 Dún Laoghaire-Salthill,81,857
052 Dún Laoghaire-West Central,133,"1,290"
053 Foxrock-Beechpark,104,607
054 Foxrock-Carrickmines,261,"2,406"
055 Foxrock-Deans Grange,138,947
056 Foxrock-Torquay,60,605
057 Glencullen,"1,004","9,358"
058 Killiney North,183,"1,347"
059 Killiney South,265,"2,711"
060 Shankill-Rathmichael,326,"2,452"
061 Shankill-Rathsallagh,142,"1,248"
062 Shankill-Shanganagh,287,"2,527"
063 Stillorgan-Deerpark,130,"1,129"
064 Stillorgan-Kilmacud,227,"1,674"
065 Stillorgan-Leopardstown,165,"1,303"
066 Stillorgan-Merville,152,"1,403"
067 Stillorgan-Mount Merrion,116,936
068 Stillorgan-Priory,105,"1,016"
069 Tibradden,58,377
001 Athy East Urban,167,"1,337"
002 Athy West Urban,122,780
003 Naas Urban,"1,474","9,889"
004 Athy Rural,183,"1,391"
005 Ballaghmoon,13,79
006 Ballitore,57,411
007 Ballybrackan,31,259
008 Ballyshannon,107,734
009 Belan,24,111
010 Bert,12,79
011 Burtown,21,167
012 Carrigeen,35,242
013 Castledermot,107,655
014 Churchtown,21,202
015 Dunmanoge,34,199
016 Fontstown,22,174
017 Graney,63,328
018 Grangemellon,42,223
019 Harristown,25,193
020 Inchaquire,12,106
021 Johnstown,7,69
022 Kilberry,19,213
023 Kildangan,50,306
024 Kilkea,14,124
025 Kilrush,45,312
026 Lackagh,49,351
027 Monasterevin,273,"1,859"
028 Moone,29,222
029 Narraghmore,39,338
030 Nurney,58,431
031 Quinsborough,6,81
032 Skerries,44,220
033 Balraheen,143,850
034 Celbridge,"1,032","7,103"
035 Cloncurry,118,721
036 Donadea,60,351
037 Donaghcumper,407,"2,971"
038 Kilcock,458,"3,106"
039 Leixlip,"1,134","7,134"
040 Maynooth,927,"6,845"
041 Straffan,147,892
042 Ballynadrumny,29,237
043 Cadamstown,109,576
044 Carbury,106,723
045 Carrick,17,120
046 Cloncurry,24,169
047 Drehid,16,115
048 Dunfierth,52,321
049 Killinthomas,24,139
050 Kilpatrick,61,319
051 Kilrainy,46,299
052 Lullymore,22,74
053 Rathangan,169,"1,003"
054 Thomastown,47,385
055 Windmill Cross,69,440
056 Ballymore Eustace,100,675
057 Ballysax East,94,849
058 Ballysax West,36,407
059 Bodenstown,354,"2,210"
060 Carnalway,109,868
061 Carragh,129,777
062 Clane,599,"3,739"
063 Donore,64,377
064 Downings,193,"1,162"
065 Droichead Nua (Newbridge) Rural,181,"1,192"
066 Droichead Nua (Newbridge) Urban,422,"3,181"
067 Dunmurry,25,197
068 Feighcullen,42,246
069 Gilltown,61,425
070 Kilcullen,215,"1,439"
071 Kildare,456,"4,008"
072 Kill,314,"2,127"
073 Killashee,25,126
074 Kilmeage North,150,972
075 Kilmeage South,122,817
076 Kilteel,41,246
077 Ladytown,54,443
078 Morristownbiller,869,"6,353"
079 Naas Rural,221,"1,395"
080 Newtown,71,422
081 Oldconnell,65,379
082 Oughterard,58,339
083 Pollardstown,23,149
084 Rathernan,54,264
085 Rathmore,81,533
086 Robertstown,124,757
087 Timahoe North,79,483
088 Timahoe South,60,334
089 Usk,31,214
001 Kilkenny No. 1 Urban,325,"2,279"
002 Kilkenny No. 2 Urban,210,"1,653"
003 Burnchurch,41,233
004 Callan Rural,99,650
005 Callan Urban,92,698
006 Coolaghmore,24,184
007 Dunamaggan,26,164
008 Earlstown,14,100
009 Kells,41,284
010 Killamery,11,93
011 Kilmaganny,36,284
012 Kilmanagh,35,214
013 Mallardstown,13,102
014 Scotsborough,7,65
015 Tullaghanbrogue,32,204
016 Boolyglass,5,51
017 Fiddown,78,422
018 Muckalee,13,76
019 Pilltown,106,662
020 Templeorum,24,181
021 Tubbrid,29,181
022 Tullahought,13,83
023 Whitechurch,25,163
024 Attanagh,31,170
025 Ballyragget,87,596
026 Castlecomer,151,870
027 Clogh,77,462
028 Clogharinka,20,122
029 Kilmacar,37,199
030 Moneenroe,98,495
031 Mothell,22,189
032 Muckalee,40,234
033 Brownsford,5,58
034 Dysartmoon,18,119
035 Jerpoint West,13,93
036 Listerlin,22,164
037 Rosbercon Rural,43,266
038 Shanbogh,31,186
039 The Rower,67,343
040 Ballinamara,27,173
041 Ballybeagh,14,128
042 Ballycallan,37,193
043 Clara,47,316
044 Coolcraheen,35,219
045 Dunbell,31,220
046 Dunmore,48,303
047 Freshford,50,368
048 Gowran,78,618
049 Grange,76,363
050 Kilkenny Rural,"1,065","7,563"
051 Kilkieran,44,282
052 Odagh,31,197
053 Outrath,41,301
054 Paulstown,60,418
055 Rathcoole,34,231
056 Rathealy,10,94
057 St. Canice,52,274
058 Shankill,63,399
059 Tiscoffin,23,206
060 Tullaroan,19,127
061 Aghaviller,23,186
062 Ballyhale,31,188
063 Ballyvool,10,86
064 Bennettsbridge,67,431
065 Bramblestown,15,106
066 Castlebanny,8,68
067 Castlegannon,8,53
068 Coolhill,20,115
069 Danesfort,24,210
070 Ennisnag,40,233
071 Famma,23,124
072 Freaghana,17,82
073 Goresbridge,19,213
074 Graiguenamanagh,96,639
075 Inistioge,54,341
076 Jerpoint Church,56,363
077 Kilfane,17,112
078 Kilkeasy,24,163
079 Kiltorcan,11,70
080 Knocktopher,38,245
081 Pleberstown,13,86
082 Powerstown,35,189
083 Stonyford,49,280
084 Thomastown,174,947
085 Tullaherin,14,107
086 Ullard,26,117
087 Woolengrange,23,130
088 Balleen,19,203
089 Ballyconra,20,111
090 Baunmore,4,64
091 Clomantagh,22,125
092 Galmoy,17,124
093 Glashare,17,151
094 Johnstown,52,286
095 Lisdowney,19,119
096 Rathbeagh,21,119
097 Tubbridbrittain,20,131
098 Urlingford,64,421
099 Aglish,85,331
100 Ballincrea,24,143
101 Dunkitt,90,438
102 Farnoge,19,132
103 Kilbeacon,21,97
104 Kilbride,33,166
105 Kilcolumb,52,275
106 Kilculliheen (part),314,"2,244"
107 Killahy,61,285
108 Kilmakevoge,37,183
109 Pollrone,84,526
110 Portnascully,86,428
111 Rathpatrick,99,472
112 Rossinan,47,274
113 Ullid,65,437
001 Abbeyleix,142,"1,063"
002 Aghmacart,23,158
003 Ballinakill,35,331
004 Ballyroan,57,456
005 Blandsfort,10,126
006 Caher,6,44
007 Castletown,37,280
008 Clash,13,140
009 Clonkeen,45,285
010 Colt,10,76
011 Cuffsborough,20,159
012 Cullahill,22,161
013 Cullenagh,6,53
014 Donaghmore,12,92
015 Donore,19,191
016 Dunmore,14,120
