Electoral Division,Highest Education Level,Total Hours Worked
165 Tralee Rural,875,"6,492"
166 Tubrid,45,359
001 Abbey A,302,"1,776"
002 Abbey B,160,998
003 Abbey C,14,163
004 Abbey D,49,461
005 Ballinacurra A,129,885
006 Ballinacurra B,64,411
007 Ballynanty,68,633
008 Castle A,69,417
009 Castle B,36,184
010 Castle C,99,545
011 Castle D,143,810
012 Coolraine,105,583
013 Custom House,30,307
014 Dock A,83,900
015 Dock B,62,488
016 Dock C,54,371
017 Dock D,41,270
018 Farranshone,73,362
019 Galvone A,49,477
020 Galvone B,6,132
021 Glentworth A,23,166
022 Glentworth B,53,407
023 Glentworth C,10,128
024 John's A,6,117
025 John's B,30,272
026 John's C,19,170
027 Killeely A,24,339
028 Killeely B,18,248
029 Market,105,837
030 Prospect A,12,192
031 Prospect B,12,162
032 Rathbane,28,367
033 St. Laurence,41,277
034 Shannon A,60,504
035 Shannon B,55,410
036 Singland A,55,466
037 Singland B,231,"1,520"
065 Limerick North Rural,420,"2,537"
001 Abbeyville,20,139
002 Adare North,55,254
003 Adare South,145,840
004 Ballingarry,58,396
005 Ballyagran,26,216
006 Ballygrennan,20,140
007 Ballynabanoge,13,119
008 Ballynoe,28,225
009 Castletown,28,151
010 Coolrus,26,192
011 Crean,24,179
012 Crecora,41,190
013 Croom,95,587
014 Dunnaman,54,316
015 Fedamore,74,438
016 Garrane,24,132
017 Grange,51,237
018 Kilfinny,26,145
019 Kilpeacon,43,242
020 Rathmore,20,130
021 Fleanmore,23,95
022 Glin,100,454
023 Kilfergus,38,181
024 Kilmoylan,28,186
025 Ardpatrick,31,165
026 Athlacca,22,164
027 Ballymacshaneboy,50,218
028 Bruff,93,533
029 Bruree,75,436
030 Bulgaden,18,148
031 Cahercorney,65,312
032 Colmanswell,44,252
033 Darragh,26,156
034 Dromin,45,242
035 Emlygrennan,62,312
036 Glenbrohane,30,170
037 Griston,12,143
038 Hospital,111,512
039 Kilfinnane,84,409
040 Kilflyn,9,92
041 Kilmallock,134,808
042 Kilteely,32,225
043 Knockainy,57,289
044 Knocklong,50,327
045 Particles,21,99
046 Rockhill,11,147
047 Tobernea,49,253
048 Uregare,55,261
049 Abington,102,503
050 Ballybricken,129,759
051 Ballycummin,"1,391","8,331"
052 Ballysimon,739,"5,289"
053 Ballyvarra,320,"1,801"
054 Caherconlish East,40,218
055 Caherconlish West,139,844
056 Caherelly,28,142
057 Cappamore,93,517
058 Carrig,59,233
059 Castleconnell,249,"1,342"
060 Clarina,151,778
061 Clonkeen,82,423
062 Doon West,13,103
063 Glenstal,70,413
064 Kilmurry,57,368
066 Limerick South Rural,95,737
067 Patrickswell,86,530
068 Roxborough,119,627
069 Anglesborough,24,145
070 Ballylanders,36,226
071 Cullane,21,158
072 Duntryleague,25,142
073 Galbally,29,199
074 Kilbeheny,15,110
075 Kilglass,26,144
076 Knocknascrow,23,93
077 Riversdale,20,103
078 Abbeyfeale,186,898
079 Ardagh,68,388
080 Ballintober,29,138
081 Ballynoe West,17,131
082 Boola,10,65
083 Broadford,67,396
084 Caher,28,146
085 Cleanglass,16,113
086 Cloncagh,28,124
087 Danganbeg,30,185
088 Dromcolliher,59,379
089 Dromtrasna,63,374
090 Feenagh,19,149
091 Garryduff,20,127
092 Glenagower,48,181
093 Glengort,33,280
094 Glensharrold,24,171
095 Kilmeedy,20,141
096 Knockaderry,36,217
097 Mahoonagh,39,201
098 Monagay,97,548
099 Mountcollins,25,198
100 Mountplummer,19,144
101 Newcastle Rural,165,"1,009"
102 Newcastle Urban,342,"1,930"
103 Port,39,203
104 Rathronan,57,328
105 Rooskagh,17,111
106 Templeglentan,69,389
107 Askeaton East,48,217
108 Askeaton West,56,415
109 Aughinish,17,92
110 Ballyallinan,28,196
111 Ballynacarriga,72,375
112 Castletown,42,219
113 Craggs,28,101
114 Croagh,63,318
115 Dromard,69,398
116 Dunmoylan East,21,192
117 Dunmoylan West,3,29
118 Iveruss,26,136
119 Kilcornan,60,310
120 Kildimo,59,275
121 Kilscannell,36,220
122 Lismakeery,27,198
123 Loghill,38,245
124 Mohernagh,12,59
125 Nantinan,65,324
126 Pallaskenry,87,443
127 Rathkeale Rural,21,130
128 Rathkeale Urban,57,387
129 Riddlestown,38,270
130 Shanagolden,54,364
131 Shanid,39,221
132 Bilboa,27,179
133 Doon South,73,518
134 Grean,91,530
135 Oola,63,421
136 Templebredon,30,225
001 Nenagh East Urban,156,"1,203"
002 Nenagh West Urban,280,"2,118"
003 Templemore,67,684
004 Thurles Urban,309,"2,359"
005 Aglishcloghane,9,123
006 Ballingarry,26,208
007 Ballylusky,14,158
008 Borrisokane,50,448
009 Carrig,13,74
010 Cloghjordan,48,392
011 Cloghprior,21,117
012 Clohaskin,17,92
013 Finnoe,6,71
014 Graigue,11,111
015 Kilbarron,49,263
016 Lorrha East,15,113
017 Lorrha West,15,132
018 Mertonhall,6,73
019 Rathcabban,7,106
020 Redwood,6,57
021 Riverstown,36,237
022 Terryglass,43,212
023 Uskane,11,102
024 Abington,46,234
025 Aghnameadle,13,135
026 Ardcrony,36,217
027 Ballina,224,"1,350"
028 Ballygibbon,37,281
029 Ballymackey,26,244
030 Ballynaclogh,51,288
031 Birdhill,51,307
032 Burgesbeg,31,189
033 Carrigatogher,33,307
034 Castletown,87,571
035 Derrycastle,32,170
036 Dolla,14,108
045 Greenhall / Lackagh,35,186
038 Kilcomenty,52,304
039 Kilkeary,31,278
040 Killoscully,41,210
041 Kilmore,39,255
042 Kilnaneave,28,192
043 Kilnarath,36,153
044 Knigh,52,303
046 Latteragh,36,268
047 Monsea,46,274
048 Nenagh Rural,117,777
049 Newport,170,"1,154"
050 Templederry,11,54
051 Youghalarra,66,411
052 Borrisnafarney,16,134
053 Borrisnoe,11,55
054 Bourney East,7,128
055 Bourney West,19,171
056 Killavinoge,23,189
057 Killea,15,153
058 Rathnaveoge,8,106
059 Roscrea,312,"2,328"
060 Timoney,16,166
061 Ballycahill,26,198
062 Ballymurreen,12,118
063 Borrisoleigh,69,516
064 Drom,71,527
065 Foilnaman,20,141
066 Glenkeen,28,200
067 Gortkelly,28,251
068 Holycross,76,583
069 Inch,31,170
070 Kilrush,28,214
071 Littleton,51,382
072 Longfordpass,19,129
073 Loughmoe,31,262
074 Moyaliff,22,158
075 Moycarky,32,215
076 Moyne,21,233
077 Rahelty,38,280
078 Templetouhy,40,320
079 Thurles Rural,133,"1,016"
080 Twomileborris,45,351
081 Upperchurch,19,140
082 Carrickbeg Urban,90,552
083 Carrick-on-Suir Urban,234,"1,420"
084 Cashel Urban,116,841
085 Clonmel East Urban,213,"1,539"
086 Clonmel West Urban,220,"1,694"
087 Tipperary East Urban,87,646
088 Tipperary West Urban,78,676
089 Carrick-on-Suir Rural,30,200
090 Garrangibbon,35,229
091 Kilmurry,15,143
092 Newtown,26,170
093 Ardmayle,31,229
094 Ardsallagh,20,199
095 Ballysheehan,23,193
096 Cashel Rural,172,"1,183"
097 Clogher,13,90
098 Cloneen,29,203
099 Clonoulty East,27,205
100 Clonoulty West,35,257
101 Colman,29,198
102 Cooleagh,36,233
103 Drangan,39,261
104 Fethard,53,320
105 Gaile,40,311
106 Graigue,6,65
107 Greystown,21,168
108 Killeenasteena,33,257
109 Killenaule,62,392
110 Kilpatrick,49,385
111 Knockgraffon,50,337
112 Magorban,31,276
113 Nodstown,37,252
114 Oughterleague,22,181
115 Peppardstown,51,520
116 Tullamain,35,289
117 Ardfinnan,80,476
118 Ballybacon,35,202
119 Ballyporeen,60,343
120 Burncourt,21,182
121 Caher,73,487
122 Clogheen,56,376
123 Coolagarranroe,47,218
124 Derrygrath,56,300
125 Kilcommon,136,833
126 Kilcoran,31,224
127 Mortlestown,122,769
128 Newcastle,43,295
129 Tubbrid,51,271
130 Tullaghmelan,72,440
131 Tullaghorton,16,104
132 Ballyclerahan,83,496
133 Clonmel Rural,386,"2,476"
134 Inishlounaght,216,"1,397"
135 Kilcash,54,353
136 Kilsheelan / Killaloan,102,583
138 Kiltinan,16,132
139 Lisronagh,56,386
140 Anner,20,145
141 Ballingarry,42,249
142 Ballyphilip,28,157
143 Buolick,50,226
144 Crohane,18,108
145 Farranrory,24,161
146 Fennor,32,223
147 Kilcooly,18,121
148 Kilvemnon,20,182
149 Modeshil,17,128
150 Mullinahone,52,291
151 New Birmingham,34,153
152 Poyntstown,13,63
153 Ballycarron,22,132
154 Ballygriffin,15,103
155 Ballykisteen,35,316
156 Bansha,39,327
157 Bruis,15,135
158 Cappagh,62,353
159 Clonbeg,51,286
160 Cullen,12,109
161 Curraheen,13,125
162 Donohill,30,265
163 Drumwood,47,255
164 Emly,32,262
165 Glengar,20,104
166 Golden,37,374
167 Kilfeakle,23,175
168 Killadriffe,35,246
169 Kilmucklin,16,224
170 Lattin,19,203
171 Rathlynin,18,137
172 Rodus,12,106
173 Shronell,19,149
174 Solloghodbeg,11,97
175 Templeneiry,25,176
176 Thomastown,25,172
177 Tipperary Rural,127,871
001 Ballybeg North,85,830
006 Ballybeg South / Ballynaneashagh,22,81
003 Ballybricken West,1,49
004 Ballymaclode,65,506
005 Ballynakill,98,819
007 Ballytruckle,260,"2,379"
008 Bilberry,45,330
009 Centre A,41,225
010 Centre B,7,78
011 Cleaboy,156,"1,116"
012 Custom House A,13,132
013 Custom House B,13,89
014 Farranshoneen,348,"2,569"
015 Ferrybank,47,306
016 Gracedieu,68,583
017 Grange North,41,272
018 Grange South,116,"1,059"
019 Grange Upper,140,"1,054"
020 Kilbarry,65,492
021 Kingsmeadow,47,282
022 Larchville,34,231
023 Lisduggan,27,266
024 Military Road,28,271
025 Morrisson's Avenue East,23,179
026 Morrisson's Avenue West,9,87
027 Morrisson's Road,22,147
028 Mount Sion,41,285
029 Newport's Square,14,159
030 Newtown,49,360
031 Park,86,638
032 Poleberry,52,438
033 Roanmore,29,251
034 Shortcourse,10,99
035 Slievekeale,31,214
036 The Glen,24,283
037 Ticor North,111,784
038 Ticor South,19,112
001 Dungarvan No. 1 Urban,192,"1,540"
002 Dungarvan No. 2 Urban,222,"1,401"
003 Ballydurn,10,84
004 Carrickbeg Rural,31,171
005 Clonea,23,185
006 Fenoagh,16,79
007 Glen,20,174
008 Kilmeadan,42,281
009 Mothel,42,192
010 Portlaw,85,614
011 Rathgormuck,13,86
012 Ross,16,117
013 Ballymacarbry,39,212
014 Graignagower,33,209
015 Gurteen,27,154
016 Kilmacomma,28,195
017 Kilronan,12,94
018 St. Mary's,46,284
019 Aird Mhór,10,81
020 Baile Mhac Airt,21,142
021 Bohadoon,19,122
022 Cappagh,36,170
023 Carriglea,32,223
024 Clonea,173,984
025 Colligan,51,300
026 Coumaraglin,15,110
027 Dromana,50,317
028 Dromore,11,96
029 Dungarvan Rural,125,800
030 Keereen,12,103
031 Knockaunbrandaun,10,82
032 Modelligo,14,130
033 Mountstuart,1,31
034 An Rinn,74,546
035 Seskinan,26,186
036 Whitechurch,10,87
037 Annestown,60,326
038 Ballylaneen,20,102
039 Carrigcastle,14,101
040 Comeragh,18,173
041 Dunhill,18,113
042 Fews,22,150
043 Fox's Castle,32,215
044 Gardenmorris,21,158
045 Georgestown,11,92
046 Kilbarrymeaden,20,135
047 Kilmacthomas,66,520
048 Knockmahon,27,152
049 Mountkennedy,35,199
050 Newtown,33,195
051 Stradbally,50,313
052 Tinnasaggart,6,38
053 Ballyduff,31,137
054 Ballyhane,24,180
055 Ballyin,27,220
056 Ballynamult,8,82
057 Ballysaggartmore,19,151
058 Cappoquin,63,487
059 Castlerichard,32,212
060 Drumroe,11,109
061 Gortnapeaky,12,78
062 Kilcockan,10,82
063 Kilwatermoy East,5,53
064 Kilwatermoy West,10,89
065 Lismore Rural,73,486
066 Lismore Urban,41,246
067 Mocollop,14,111
068 Modelligo,17,131
069 Tallow,70,475
070 Ballynakill (Part Rural),26,151
071 Drumcannon,38,145
072 Faithlegg (Part Rural),141,817
073 Islandikane,124,819
074 Kilbarry (Part Rural),13,103
075 Killea,96,639
076 Killoteran,45,248
077 Kilmacleague,22,170
078 Kilmeadan,56,318
079 Newcastle,44,193
080 Pembrokestown,48,212
081 Rathmoylan,81,483
082 Reisk,83,499
083 Tramore,588,"3,574"
084 Woodstown,50,237
085 Ardmore,44,282
086 Ballyheeny,37,214
087 Clashmore,23,176
088 Glenwilliam,11,66
089 Grallagh,13,110
090 Grange,20,139
091 Kinsalebeg,45,232
092 Templemichael,33,182
001 Ballybaan,717,"5,896"
002 Baile an Bhriotaihg,55,423
003 Bearna,854,"6,964"
004 An Caisleán Gearr,269,"2,020"
005 Claddagh,161,"1,210"
006 Dangan,151,"1,255"
007 Eyre Square,227,"1,917"
008 An Cnocán Carrach,93,681
009 Lough Atalia,60,390
010 Mionlach,241,"2,002"
011 Mervue,102,857
012 Murroogh,164,"1,338"
013 Newcastle,62,457
014 Nuns Island,73,659
015 Rahoon,141,"1,359"
016 Renmore,81,521
017 Rockbarton,143,694
018 Paróiste San Nicoláis,100,999
019 Salthill,178,"1,670"
020 Shantalla,44,590
021 Taylors Hill,139,993
022 Wellpark,88,758
001 Ballinasloe Urban,315,"2,253"
002 Abbeygormacan,20,183
003 Ahascragh,36,249
004 Aughrim,31,233
005 Ballinasloe Rural,33,246
006 Ballymacward,15,128
007 Clonfert,34,165
008 Clontuskert,13,103
009 Kellysgrove,26,143
010 Kilconnell,38,262
011 Killaan,31,206
012 Killallaghtan,26,214
013 Killoran,18,115
014 Killure,37,258
015 Kilmacshane,14,89
016 Kiltormer,33,200
017 Kylemore,7,54
018 Laurencetown,28,143
019 Lismanny,10,101
020 Oatfield,21,168
021 Ballynakill,25,186
022 Binn an Choire,11,81
023 Bunowen,18,143
024 Cleggan,18,104
025 Clifden,102,809
026 Cushkillary,11,110
028 Derrycunlagh / Derrylea,22,152
029 Doonloughan,1,24
030 Errislannan,10,72
031 An Uillinn,6,46
032 Inishbofin,6,76
033 An Cnoc Buí,26,224
034 Maíros,22,133
035 Abhainn Ghabhla,14,81
036 Rinvyle,51,482
037 Cloch na Rón,14,144
038 Sillerna,13,132
039 Scainimh,21,176
040 Eanach Dhúin,148,865
041 Aughrim,83,586
042 Baile an Teampaill (Part Rural),107,734
043 Ballynacourty,87,537
044 Bearna (Part Rural),261,"1,613"
045 Belleville,43,292
046 An Carn Mór,203,"1,260"
047 Ceathrú an Bhrúnaigh (Part Rural),67,383
048 Baile Chláir,151,993
049 Clarinbridge,267,"1,665"
050 Deerpark,101,603
051 Na Forbacha,86,554
052 Galway Rural (Part Rural),11,58
053 Árainn,42,441
054 Cill Chuimin,59,464
055 Cill Aithnín,73,397
056 Leacach Beag,110,698
057 Liscananaun,122,691
058 Lisín an Bhealaigh,74,478
059 Maigh Cuilinn,132,946
060 Oranmore,346,"2,111"
061 Sailearna,72,569
062 Sliabh an Aonaigh,38,322
063 An Spidéal,88,600
064 Stradbally,91,553
065 Tulaigh Mhic Aodháin,137,861
066 Ballinastack,15,137
067 Ballymoe,31,158
068 Ballynakill,24,167
069 Boyounagh,12,92
070 Creggs,28,149
071 Curraghmore,14,71
072 Glennamaddy,39,325
073 Island,12,91
074 Kilcroan,28,199
075 Kiltullagh,25,89
076 Raheen,24,196
077 Scregg,21,101
078 Shankill,18,111
079 Templetogher,29,177
080 Toberroe,15,123
081 Ardamullivan,38,252
082 Ardrahan,33,224
083 Ballycahalan,13,86
084 Beagh,50,308
085 Cahermore,30,246
086 Cappard,9,43
087 Castletaylor,40,272
088 Doorus,73,346
089 Drumacoo,95,571
090 Gort,151,"1,237"
091 Kilbeacanty,19,140
092 Killeely,150,767
093 Killeenavarra,52,349
094 Killinny,22,211
095 Kiltartan,52,365
096 Kilthomas,7,42
097 Kinvarra,113,648
098 Rahasane,22,156
099 Skehanagh,37,211
100 Aille,19,168
101 Athenry,349,"2,307"
102 Ballynagar,13,88
103 Bracklagh,27,179
104 Bullaun,15,121
105 Cappalusk,19,183
106 Castleboy,46,233
107 Cloonkeen,41,194
108 Colmanstown,15,73
109 Craughwell,115,761
110 Derrylaur,11,45
111 Drumkeary,33,264
112 Graigabbey,24,168
113 Grange,44,318
114 Greethill,63,423
115 Kilchreest,18,127
116 Kilconickny,48,263
117 Kilconierin,35,266
118 Killimor,15,154
119 Killogilleen,74,388
120 Kilmeen,53,281
121 Kilreekill,28,138
122 Kilteskill,28,169
123 Kiltullagh,41,326
124 Lackalea,25,162
125 Leitrim,43,211
127 Loughrea Rural,59,350
128 Loughrea Urban,331,"2,270"
126 Marblehill / Loughatorick,22,152
130 Mountain,24,129
131 Movode,16,104
132 Raford,34,232
133 Tiaquin,58,304
134 Woodford,25,172
135 Annagh,14,149
136 Ballynakill,37,233
137 Caltra,26,155
138 Castleblakeney,29,212
139 Castleffrench,33,196
140 Clonbrock,32,254
141 Cloonkeen,10,119
142 Cooloo,31,241
143 Derryglassaun,53,384
144 Killeroran,101,521
145 Killian,21,139
146 Mount Bellew,118,846
147 Mounthazel,28,212
148 Taghboy,16,105
149 Camas,19,101
150 An Fhairche,66,429
151 Conga,32,195
152 An Crompán,120,836
153 An Chorr,11,63
154 Garmna,41,373
155 Cill Chuimín,11,65
156 Leitir Breacáin,9,96
157 Letterfore,17,99
158 Leitir Móir,16,247
159 Oughterard,169,"1,037"
160 An Ros,3,33
161 An Turlach,17,167
162 Wormhole,151,"1,003"
163 Abbeyville,21,120
164 Ballyglass,8,69
165 Coos,6,38
166 Derrew,7,72
167 Drummin,23,152
168 Eyrecourt,31,144
169 Killimor,38,273
170 Kilmalinoge,8,101
171 Kilquain,23,124
172 Meelick,14,102
173 Moat,11,62
174 Pallas,23,159
175 Portumna,132,843
176 Tiranascragh,14,68
177 Tynagh,22,170
178 Abbey East,37,266
179 Abbey West,49,340
180 Addergoole,41,213
181 Annaghdown,96,612
182 Ballinderry,33,219
183 Ballinduff,53,294
184 Ballynapark,66,430
185 Beaghmore,19,158
186 Belclare,57,332
187 Carrownagur,23,179
188 Carrowrevagh,25,170
189 Claretuam,50,471
190 Clonbern,13,165
191 Cloonkeen,21,151
192 Cummer,76,490
193 Donaghpatrick,24,226
194 Doonbally,41,255
195 Dunmore North,46,216
196 Dunmore South,55,316
197 Foxhall,31,258
198 Headford,79,651
199 Hillsbrook,48,287
200 Kilbennan,16,137
201 Kilcoona,37,267
202 Killeany,37,271
203 Killeen,49,299
204 Killererin,51,349
205 Killower,55,390
206 Killursa,60,457
207 Kilmoylan,71,453
208 Kilshanvy,26,183
209 Levally,24,142
210 Milltown,34,266
211 Monivea,48,311
212 Moyne,44,280
213 Ryehill,64,371
214 Toberadosh,28,146
215 Tuam Rural,387,"2,387"
216 Tuam Urban,215,"1,215"
001 Ballinamore,50,426
002 Cloverhill,11,109
003 Corrala,16,92
004 Drumreilly North,12,67
005 Drumreilly South,7,52
006 Garadice,32,195
011 Greaghglass / Stralongford,20,101
008 Killygar,5,48
009 Newtowngore,13,109
010 Oughteragh,5,36
012 Aghacashel,4,36
013 Annaduff,19,107
014 Barnameenagh,10,54
015 Carrick-on-Shannon,228,"1,716"
016 Drumreilly West / Drumreilly East,10,75
018 Drumshanbo,79,513
019 Drumsna,36,280
020 Gortnagullion,18,101
021 Gowel,24,149
022 Keshcarrigan,39,161
023 Kiltubbrid,7,63
024 Leitrim,81,503
025 Moher,11,102
026 Yugan,10,89
028 Aghalateeve / Aghanlish,8,78
032 Aghavoghill / Melvin,17,70
030 Gubacreeny,44,268
031 Kinlough,44,333
033 Tullaghan,33,255
035 Ballaghameehan,10,81
036 Belhavel,16,90
037 Cloonclare,15,76
038 Cloonlogher,18,135
039 Drumahaire,95,625
040 Drumkeeran,24,160
034 Garvagh / Arigna,13,66
042 Glenade,6,61
043 Glenaniff,11,62
044 Glenboy,17,119
045 Glencar,16,117
046 Glenfarn,6,40
047 Killanummery,26,149
048 Killarga,1,25
049 Kiltyclogher,10,60
050 Lurganboy,26,181
051 Mahanagh,10,87
052 Manorhamilton,94,741
053 Munakill,8,71
054 Sramore,26,171
055 St. Patrick's,8,58
056 Aghavas,25,126
057 Beihy,20,135
058 Breandrum,30,111
059 Bunnybeg,5,61
060 Carrigallen East,18,106
061 Carrigallen West,39,206
062 Cashel,10,71
063 Castlefore,22,92
064 Cattan,15,92
065 Cloone,22,134
066 Corriga,12,63
067 Drumard,15,101
068 Drumdoo,20,110
069 Drumod,61,353
070 Fenagh,27,147
071 Gortermone,21,124
072 Keeldra,9,79
073 Lisgillock,14,78
074 Mohill,58,432
075 Rinn,21,156
076 Riverstown,11,85
077 Roosky,49,250
078 Rowan,18,82
001 Ardnaree South Urban,81,716
002 Ballina Urban,197,"1,363"
003 Castlebar Urban,314,"2,134"
004 Westport Urban,387,"2,516"
005 Ardagh,29,157
006 Ardnaree North,50,384
007 Ardnaree South Rural,188,"1,283"
008 Attymass East,23,129
009 Attymass West,13,95
010 Ballina Rural,188,"1,159"
011 Ballycastle,25,210
012 Ballysakeery,42,241
013 Béal Deirg Mór,4,57
014 Bunaveela,0,28
015 Carrowmore,64,369
016 Crossmolina North,77,431
017 Crossmolina South,65,342
018 Deel,41,181
019 Derry,20,65
020 Fortland,40,206
021 Kilfian East,11,87
022 Kilfian South,12,85
023 Kilfian West,8,42
024 Kilgarvan,54,301
025 Killala,73,495
026 Lackan North,11,121
027 Lackan South,19,159
028 Letterbrick,6,51
029 Mount Falcon,61,481
030 Rathoma,9,81
031 Sallymount,33,193
032 Sraheen,57,395
033 Baile an Chalaidh,13,91
034 Ballinrobe,229,"1,504"
035 Baile Óbha,16,86
036 Burriscarra,34,172
037 An Cheapaigh Dhuibh,23,147
038 Cong,56,379
039 Coonard,17,121
040 Dalgan,78,471
041 Hollymount,48,337
042 Houndswood,42,276
043 Kilcommon,38,299
044 Kilmaine,43,372
045 Neale,43,334
046 Newbrook,30,226
047 Abhainn Bhrain,14,84
048 Partraí,38,229
049 Roslee,31,175
050 Shrule,77,468
051 An Geata Mór Thuaidh,59,339
052 An Geata Mór Theas,42,262
053 Bangor,21,174
054 Barr Rúscaí,6,40
055 Béal an Mhuirthead,113,721
056 Gleann na Muaidhe,6,67
057 Gleann Chaisil,26,167
065 Glenco / Sheskin,4,30
059 Guala Mhór,9,49
060 Cnoc an Daimh,14,104
061 Cnoc na Lobhar,31,224
062 Moing na Bó,11,81
063 Na Monga,8,65
064 Cnoc na Ráithe,34,201
066 Addergoole,57,343
067 Balla,109,698
068 Ballinafad,34,218
069 Ballyhean,41,267
070 Ballynagoraher,21,134
071 Bellavary,55,418
072 Breaghwy,96,751
073 Burren,21,152
074 Castlebar Rural,470,"3,243"
075 Clogher,29,229
076 Cloonkeen,57,326
077 Croaghmoyle,9,73
078 Killavally,30,229
079 Manulla,64,391
080 Pontoon,34,198
081 Strade,41,222
082 Tamhnaigh na Graí,28,180
083 Turlough,88,603
084 Ballindine,35,339
085 Ballyhaunis,194,"1,102"
086 Ballyhowly,27,197
087 Bekan,45,300
088 Caraun,23,164
089 Claremorris,228,"1,723"
090 Cloghermore,8,63
091 Course,30,159
092 Crossboyne,32,256
093 Culnacleha,16,192
094 Garrymore,22,188
095 Kilcolman,28,201
096 Kilvine,43,259
097 Knock North,57,347
098 Knock South,29,244
099 Loughanboy,16,127
100 Mayo,16,210
101 Murneen,20,151
102 Tagheen,5,71
103 Aghamore,38,234
104 Ballinamore,21,120
105 Bohola,18,126
106 Brackloon,33,229
107 Callow,37,159
108 Cloonmore,39,164
109 Coolnaha,35,186
110 Cuildoo,18,117
111 Doocastle,23,130
112 Kilbeagh,72,387
113 Kilkelly,43,314
114 Killedan,42,259
115 Kilmovee,36,214
116 Kiltamagh,81,561
117 Meelick,44,200
118 Sonnagh,75,412
119 Swineford,140,854
120 Toocananagh,18,149
121 Toomore,98,595
122 Tumgesh,19,120
123 Urlaur,27,185
124 Acaill,63,231
125 Aghagower North,63,437
126 Aghagower South,4,49
127 Aillemore,17,137
128 Ballycroy North,14,86
129 Ballycroy South,12,96
131 Clare Island,6,82
132 Clogher,47,379
133 An Corrán,46,212
134 Croaghpatrick,42,226
135 Derryloughan,47,310
136 Dumha Éige,27,157
137 Drummin,9,84
138 Emlagh,29,139
139 Erriff,4,54
140 Glenhest,12,89
141 Islandeady,65,444
142 Kilgeever,4,44
143 Kilmaclasser,32,259
144 Kilmeena,101,609
145 Kilsallagh,45,199
146 Knappagh,42,305
147 Louisburgh,55,358
148 Newport East,69,492
149 Newport West,48,278
130 Owennadornaun / Bundorragha,9,68
151 Slievemahanagh,24,190
152 Slievemore,65,287
153 Srahmore,6,48
154 Westport Rural,96,637
001 Athlone West Rural,273,"2,211"
002 Ballydangan,53,323
003 Ballynamona,32,218
004 Caltragh,16,103
005 Carnagh,47,352
006 Carrowreagh,31,241
007 Castlesampson,30,177
008 Cloonburren,16,86
009 Cloonown,18,122
010 Crannagh,63,482
011 Creagh,65,414
012 Culliagh,21,88
013 Drumlosh,21,147
014 Dysart,13,104
015 Kilcar,22,168
016 Kiltoom,101,707
017 Lecarrow,33,159
018 Moore,12,115
019 Rockhill,29,174
020 Taghboy,28,171
021 Taghmaconnell,21,107
022 Thomastown,39,345
023 Turrock,16,156
024 Aghafin,11,54
026 Aughrim East,12,102
027 Aughrim West,7,72
028 Ballyfarnan,13,80
029 Ballyfermoyle,11,64
030 Boyle Rural,99,609
031 Boyle Urban,75,435
032 Breedoge,7,101
033 Cloonteen,18,115
034 Creeve,7,57
035 Croghan,23,160
036 Crossna,8,71
037 Danesfort,56,386
038 Estersnow,9,40
039 Keadew,31,177
040 Kilbryan,24,134
041 Kilcolagh,12,61
042 Killukin,13,129
043 Killummod,8,49
044 Kilmacumsy,14,131
045 Kilmore,13,76
048 Lisgarve / Mantua,9,92
025 Lough Allen / Altagowlan,12,100
049 Oakport,23,190
050 Rockingham,23,140
051 Rushfield,17,163
052 Tivannagh,16,114
053 Tumna North,13,67
054 Tumna South,13,77
055 Artagh North,52,289
056 Artagh South,32,162
057 Ballaghaderreen,138,898
058 Ballinlough,63,359
059 Ballintober,32,289
060 Baslick,15,60
061 Bellanagare,39,220
062 Buckill,31,136
063 Carrowduff,15,88
064 Castleplunket,25,182
065 Castlereagh,100,953
066 Castleteheen,19,132
067 Cloonfower,14,120
068 Coolougher,33,204
069 Edmondstown,26,138
070 Fairymount,16,133
071 Frenchpark,49,319
072 Kiltullagh,56,378
073 Loughglinn,34,245
074 Annaghmore,19,124
075 Athleague East,22,202
076 Athleague West,31,210
077 Ballygarden,17,76
078 Bumlin,32,195
079 Cams,32,204
080 Cloonfinlough,17,68
081 Cloontuskert,76,514
082 Cloonygormican,27,193
083 Cloonyquin,14,114
084 Creeve,14,64
085 Cregga,7,65
086 Drumdaff,35,194
087 Dunamon,24,139
088 Elia,6,57
089 Elphin,48,271
090 Fuerty,45,311
091 Kilbride North,24,181
092 Kilbride South,23,170
093 Kilgefin,16,132
094 Kilglass North,30,169
095 Kilglass South,25,126
096 Killavackan,16,95
097 Killukin,13,91
098 Kilteevan,38,223
099 Lackan,22,155
100 Lismaha,9,147
101 Lissonuffy,17,82
102 Mote,63,395
103 Ogulla,17,134
104 Roosky,67,263
105 Roscommon Rural,274,"1,862"
106 Roscommon Urban,107,675
107 Rosmoylan,11,58
108 Rossmore,6,72
109 Scregg,35,234
110 Strokestown,50,357
111 Termonbarry,54,325
112 Tulsk,23,118
001 Sligo East,239,"1,814"
002 Sligo North,175,"1,464"
003 Sligo West,392,"2,871"
004 Aghanagh,29,148
005 Ballynashee,19,134
006 Coolavin,30,187
007 Cuilmore,36,207
008 Drumrat,24,184
009 Kilfree,30,203
010 Killadoon,21,108
011 Killaraght,27,174
012 Kilmactranny,24,138
013 Kilshalvy,20,110
014 Shancough,5,39
015 Templevanny,17,96
016 Toomour,9,80
017 Aughris,12,73
