Electoral Division,Household Income
"051 Clondarrig, Co. Laois",46720
"049 Newport, North Tipperary",46715
"133 Ballynahaglish, Co. Kerry",46712
"132 Raford, Co. Galway",46703
"026 Kilmallock, Co. Wexford",46701
"096 Raharney, Co. Westmeath",46698
"033 Cloonteen, Co. Roscommon",46697
"057 Butlerstown, Co. Cork",46694
"178 Abbey East, Co. Galway",46689
"041 Ballybeg, Co. Wexford",46666
"124 Mohernagh, Co. Limerick",46663
"082 Killucan, Co. Westmeath",46655
"030 Marshalstown, Co. Wexford",46654
"074 Rosenallis, Co. Laois",46638
"242 Springfort, Co. Cork",46636
"123 Coolagarranroe, South Tipperary",46633
"101 Sonna, Co. Westmeath",46617
"075 Kilmeage South, Co. Kildare",46612
"074 Castlebar Rural (Part Urban), Co. Mayo",46601
"078 Kilmeadan, Co. Waterford",46597
"101 Newcastle Rural, Co. Limerick",46594
"058 Ballysax West, Co. Kildare",46588
"047 St. Mary's (Part Urban), Co. Louth",46580
"031 Mothell, Co. Kilkenny",46579
"038 Arklow Rural, Co. Wicklow",46561
"060 Rossinver East, Co. Sligo",46547
"147 Kiltannon, Co. Clare",46531
"002 Dungarvan No. 2 Urban, Co. Waterford",46524
"029 Ballylynan, Co. Laois",46519
"038 Ballylaneen, Co. Waterford",46512
"072 Currans, Co. Kerry",46510
"131 Shanid, Co. Limerick",46498
"031 Greagh, Co. Monaghan",46497
"154 Toberbreeda, Co. Clare",46483
"132 Bilboa, Co. Limerick",46475
"059 Figullar, Co. Monaghan",46465
"029 Creeve, Co. Monaghan",46460
"020 Crosagstown, Co. Longford",46456
"052 Clonin, Co. Laois",46455
"076 Killoteran, Co. Waterford",46453
"004 Caltragh, Co. Roscommon",46448
"144 Mín Charraigeach, Co. Donegal",46444
"037 Clogher, Co. Louth",46415
"046 Brockagh, Co. Wicklow",46406
"008 Ballinguile, Co. Wicklow",46404
"044 Duleek, Co. Meath",46389
"102 Gortnavern, Co. Donegal",46389
"090 Ballickmoyler, Co. Laois",46374
"044 Lisnaveane, Co. Monaghan",46325
"004 Carrickbeg Rural, Co. Waterford",46306
"126 Pallaskenry, Co. Limerick",46300
"015 Carrowmore, Co. Mayo",46297
"068 Holycross, North Tipperary",46282
"019 Ardagh, Co. Meath",46259
"037 Ballynakill, Co. Sligo",46255
"020 Clogrenan, Co. Carlow",46253
"216 Mountrivers, Co. Cork",46253
"016 Kilmacomma, Co. Waterford",46248
"077 Huntingdon, Co. Westmeath",46238
"055 Kilbride, Co. Wicklow",46237
"053 Clontibret, Co. Monaghan",46207
"063 Glenstal, Co. Limerick",46192
"075 Moycarky, North Tipperary",46185
"064 Ballyhar, Co. Kerry",46183
"007 Rahill, Co. Carlow",46181
"021 Beaumont A, Dublin City",46176
"034 Aghabog, Co. Monaghan",46172
"048 Barna, Co. Offaly",46165
"050 Drumfin, Co. Sligo",46136
"057 Ballysaggartmore, Co. Waterford",46121
"126 Kilcoran, South Tipperary",46103
"011 Rathgormuck, Co. Waterford",46090
"143 Derryglassaun, Co. Galway",46078
"111 Rathpatrick, Co. Kilkenny",46069
"047 Terenure-Cherryfield, South Dublin",46066
"016 Kiltormer, Co. Galway",46060
"059 Sundays Well A, Cork City",46052
"029 Moyclare, Co. Offaly",46044
"078 Kilpipe, Co. Wicklow",46038
"038 Tombrack, Co. Wexford",46035
"200 Ceann Droma, Co. Cork",45996
"038 Ballintemple, Co. Cavan",45988
"008 Kilmeadan, Co. Waterford",45976
"064 Wingfield, Co. Wexford",45970
"091 Whitehall B, Dublin City",45957
"077 Scregg, Co. Galway",45957
"018 Loughfea, Co. Monaghan",45956
"133 Glanworth West, Co. Cork",45950
"163 Kilbrin, Co. Cork",45942
"081 Upperchurch, North Tipperary",45926
"045 Cliffony South, Co. Sligo",45924
"187 Carrownagur, Co. Galway",45910
"170 Kilmalinoge, Co. Galway",45909
"278 Derryvillane, Co. Cork",45903
"051 Castleshane, Co. Monaghan",45903
"176 Thomastown, South Tipperary",45901
"009 Lisagoan, Co. Cavan",45898
"038 Clonarney, Co. Westmeath",45891
"049 Oakport, Co. Roscommon",45887
"045 Glencar, Co. Leitrim",45876
"152 Rathclooney, Co. Clare",45852
"104 Kilbride, Co. Kilkenny",45844
"049 Cangort, Co. Offaly",45843
"091 Kilmurry, South Tipperary",45829
"139 Erriff, Co. Mayo",45816
"039 Posseckstown, Co. Meath",45786
"006 Fenoagh, Co. Waterford",45779
"135 Derryloughan, Co. Mayo",45772
"001 Abbey A, Limerick City",45769
"074 Dromin, Co. Kerry",45762
"010 Blanchardstown-Coolmine, Fingal",45761
"083 Stonyford, Co. Kilkenny",45758
"112 Castletown, Co. Limerick",45758
"106 Ballingurteen, Co. Cork",45749
"097 Shrule, Co. Laois",45741
"053 Finglas North C, Dublin City",45740
"064 Harmonstown A, Dublin City",45732
"012 Ballysakeery, Co. Mayo",45725
"302 Killeenleagh, Co. Cork",45724
"070 Tramore C, Cork City",45721
"082 Ardrahan, Co. Galway",45715
"167 Drummin, Co. Galway",45715
"028 The Grange, Co. Wicklow",45709
"002 Balbriggan Rural, Fingal",45697
"045 Carrick, Co. Kildare",45697
"112 Rossinan, Co. Kilkenny",45692
"032 Ennis Rural (Part Urban), Co. Clare",45692
"011 Ballygall A, Dublin City",45686
"115 Leitrim, Co. Kerry",45683
"043 Carrickbanagher, Co. Sligo",45681
"188 Carrowrevagh, Co. Galway",45667
"075 Athleague East, Co. Roscommon",45657
"153 An Chorr, Co. Galway",45646
"032 Lurgan, Co. Cavan",45627
"054 Mountheaton, Co. Offaly",45620
"082 Killarney Rural (Part Urban), Co. Kerry",45616
"068 Tedavnet, Co. Monaghan",45616
"113 Ullid, Co. Kilkenny",45614
"020 Castleconor West, Co. Sligo",45601
"044 Carbury, Co. Kildare",45599
"070 Coom, Co. Kerry",45579
"034 Ballinlough, Co. Westmeath",45576
"191 Laherne, Co. Cork",45571
"274 Knocknagree, Co. Cork",45552
"095 Kilmeedy, Co. Limerick",45542
"164 Kilmeen, Co. Cork",45539
"071 Carrickbyrne, Co. Wexford",45506
"106 Magheraboy (Part Rural), Co. Donegal",45489
"040 Kealkill, Co. Cork",45477
"073 Coolaney, Co. Sligo",45461
"014 Enagh, Co. Monaghan",45459
"046 Newbrook, Co. Mayo",45458
"103 Port, Co. Limerick",45456
"024 Broomfield, Co. Monaghan",45454
"066 Derrycooley, Co. Offaly",45440
"073 Burren, Co. Mayo",45431
"068 Geashill, Co. Offaly",45415
"024 Leitrim, Co. Leitrim",45413
"131 Tullaghorton, South Tipperary",45403
"077 Stradone, Co. Cavan",45399
"004 Aughrim, Co. Galway",45389
"030 Bulgaden, Co. Limerick",45383
"102 Forth, Co. Wexford",45379
"171 Rathlynin, South Tipperary",45373
"022 Cappagh, Co. Waterford",45357
"023 Piercetown, Co. Westmeath",45356
"064 Meelick, Co. Laois",45352
"011 Killaan, Co. Galway",45349
"013 Drumlosh, Co. Roscommon",45326
"031 Tuckmill, Co. Wicklow",45304
"028 Clonskeagh-Farranboley, Dún Laoghaire-Rathdown",45294
"210 Kilberrihert, Co. Cork",45290
"001 Athlone West Rural, Co. Roscommon",45288
"035 Rathcor, Co. Louth",45271
"115 Kilchreest, Co. Galway",45271
"007 Killinkere, Co. Cavan",45265
"103 Crumlin F, Dublin City",45259
"008 Clonmacnoise, Co. Offaly",45257
"050 Cootehill Rural, Co. Cavan",45239
"269 Derragh, Co. Cork",45235
"081 Rathfeston, Co. Offaly",45214
"144 Kilkishen, Co. Clare",45207
"110 Kilpatrick, South Tipperary",45206
"247 Ballycottin, Co. Cork",45203
"057 Lissadill North, Co. Sligo",45180
"068 Stonefield, Co. Meath",45173
"069 Kilchreest, Co. Clare",45163
"069 Tehallan, Co. Monaghan",45161
"101 Athenry, Co. Galway",45137
"048 Uregare, Co. Limerick",45117
"020 Templeorum, Co. Kilkenny",45116
"052 Rosmead, Co. Westmeath",45112
"048 Knockmahon, Co. Waterford",45111
"043 Mahon B, Cork City",45110
"003 Ballynamona, Co. Roscommon",45096
"049 Bragan, Co. Monaghan",45096
"094 Graigue Rural, Co. Laois",45094
"055 Ballyin, Co. Waterford",45091
"051 Rushfield, Co. Roscommon",45084
"007 Castlesampson, Co. Roscommon",45081
"048 Dún Laoghaire-Sallynoggin South, Dún Laoghaire-Rathdown",45078
"115 Kimmage E, Dublin City",45051
"015 Rahoon, Galway City",45049
"064 Bennettsbridge, Co. Kilkenny",45046
"136 Templebredon, Co. Limerick",45046
"044 Gardenmorris, Co. Waterford",44999
"037 Danesfort, Co. Roscommon",44989
"087 Danganbeg, Co. Limerick",44981
"036 Durrus East, Co. Cork",44974
"162 O'Brennan, Co. Kerry",44966
"077 O'Dempsey, Co. Offaly",44952
"075 Dunloe, Co. Kerry",44951
"017 Lorrha West, North Tipperary",44948
"028 Ballygibbon, North Tipperary",44946
"147 Kilcooly, South Tipperary",44916
"067 Churchtown, Co. Kerry",44914
"131 Movode, Co. Galway",44906
"017 Graney, Co. Kildare",44898
"025 Ardpatrick, Co. Limerick",44897
"032 Modelligo, Co. Waterford",44892
"025 Killann, Co. Wexford",44861
"090 Fuerty, Co. Roscommon",44824
"050 Dunganstown South, Co. Wicklow",44822
"052 Lullymore, Co. Kildare",44819
"072 Rossmore, Co. Cork",44816
"086 Drumdaff, Co. Roscommon",44810
"037 Newtown, Co. Meath",44793
"173 Rosnalee, Co. Cork",44787
"010 Derryad, Co. Offaly",44782
"021 Clonegall, Co. Carlow",44779
"048 Partraí, Co. Mayo",44777
"005 Drumanespick, Co. Cavan",44777
"091 Whitemoor, Co. Wexford",44770
"035 Croghan, Co. Roscommon",44761
"030 Castlerahan, Co. Cavan",44754
"091 Summerhill, Co. Meath",44748
"015 Fedamore, Co. Limerick",44746
"127 Rathkeale Rural, Co. Limerick",44742
"190 Clonbern, Co. Galway",44734
"063 Kilwatermoy East, Co. Waterford",44729
"021 Killinaboy, Co. Clare",44723
"068 Modelligo, Co. Waterford",44722
"020 Kilbarry, Waterford City",44703
"124 Cappaghabaun, Co. Clare",44683
"111 Drumkeary, Co. Galway",44680
"092 Kilbride South, Co. Roscommon",44678
"055 Cill Aithnín, Co. Galway",44674
"143 Kilmaclasser, Co. Mayo",44664
999 Kilsheelan / Killaloan,44663
"050 Shrule, Co. Mayo",44663
"014 Clogher, Co. Donegal",44657
"070 Carnagh, Co. Wexford",44656
"052 Kyle, Co. Carlow",44643
"103 Drangan, South Tipperary",44642
"007 Ballybrackan, Co. Kildare",44625
"002 Abbeygormacan, Co. Galway",44613
"138 Castleblakeney, Co. Galway",44604
"045 Hilltown, Co. Westmeath",44571
"062 Castletown, Co. Westmeath",44558
"047 Killua, Co. Westmeath",44551
"015 Eadestown, Co. Wicklow",44539
"062 Kilmore, Co. Monaghan",44529
"235 Mallow Rural, Co. Cork",44528
"161 Nohaval, Co. Kerry",44525
"031 Milltown, Co. Longford",44523
"026 Athlacca, Co. Limerick",44523
"087 Dunamon, Co. Roscommon",44519
"076 Knocknascrow, Co. Limerick",44489
"232 Kilmaclenine, Co. Cork",44480
"062 Doon West, Co. Limerick",44479
"138 Rathmines West A, Dublin City",44478
"168 Milford, Co. Cork",44471
"101 Gartán, Co. Donegal",44470
"268 Cullen, Co. Cork",44459
"039 Ballyhaise, Co. Cavan",44458
"075 Kilglass, Co. Limerick",44451
"012 Dromoyle, Co. Offaly",44446
"062 Crosskeys, Co. Meath",44444
"099 Aglish, Co. Kilkenny",44437
"057 Rathkenny, Co. Meath",44428
"035 The Harrow, Co. Wexford",44428
"011 Gleninagh, Co. Clare",44428
"055 Caherconlish West, Co. Limerick",44426
"114 Kimmage D, Dublin City",44424
"064 Togher, Co. Wicklow",44406
"131 Fermoy Rural, Co. Cork",44400
"091 Kilbride North, Co. Roscommon",44397
"095 Newtown, Co. Laois",44394
"093 Kilrush Rural, Co. Clare",44392
"039 Rathornan, Co. Carlow",44360
"075 Clogher, Co. Mayo",44356
"148 Barleyhill, Co. Cork",44352
"105 Roscommon Rural, Co. Roscommon",44350
"067 Mocollop, Co. Waterford",44332
"005 Ballinteer-Meadowmount, Dún Laoghaire-Rathdown",44324
"001 Ballybaan, Galway City",44321
"018 Tallanstown, Co. Louth",44312
"061 Killylough, Co. Monaghan",44305
"167 Kilfeakle, South Tipperary",44279
"071 Rosscarbery, Co. Cork",44268
"108 Rossmore, Co. Roscommon",44252
"065 Foilnaman, North Tipperary",44212
"076 North Dock A, Dublin City",44197
"159 Millbrook, Co. Kerry",44191
"056 Killenagh, Co. Wexford",44190
"007 Glen, Co. Waterford",44173
"014 Ballon, Co. Carlow",44172
"134 Gortnaskehy, Co. Cork",44170
"240 Shanballymore, Co. Cork",44166
"047 Monsea, North Tipperary",44165
"071 Bellavary, Co. Mayo",44165
"109 Bealock, Co. Cork",44160
"206 Gort na Tiobratan, Co. Cork",44130
"105 Ballycannan, Co. Clare",44123
"076 Springfield, Co. Cavan",44117
"091 Kilbeacanty, Co. Galway",44114
"096 Killavackan, Co. Roscommon",44114
"061 Drung, Co. Cavan",44110
"002 St. Laurence Gate, Co. Louth",44102
"081 Ballynoe West, Co. Limerick",44090
"047 Montenotte A, Cork City",44081
"324 Kilmacdonogh, Co. Cork",44079
"056 Cuttragh, Co. Cavan",44067
"152 Castlecor, Co. Cork",44065
"109 Killinick, Co. Wexford",44062
"011 Ballymore, Co. Wexford",44060
"046 Carrafin, Co. Cavan",44056
"075 North City, Dublin City",44053
"018 Farranshone, Limerick City",44053
"061 Ballycahill, North Tipperary",44048
"022 Corries, Co. Carlow",44033
"048 Cavan Rural, Co. Cavan",44033
"031 Knockarrow, Co. Westmeath",44032
"067 Patrickswell, Co. Limerick",44026
"138 Ballyblood, Co. Clare",44023
"227 Churchtown, Co. Cork",44017
"044 Knigh, North Tipperary",44012
"142 Ballyphilip, South Tipperary",44006
"043 Knockainy, Co. Limerick",44000
"107 Ballymoney, Co. Cork",43991
"027 Ballymacshaneboy, Co. Limerick",43988
"155 Tulla, Co. Clare",43970
"077 Tinnahinch, Co. Laois",43956
"004 Drumcondra, Co. Meath",43953
"100 Skeagh, Co. Westmeath",43951
"027 Killoughrum, Co. Wexford",43917
"103 Bracklagh, Co. Galway",43910
"045 Neale, Co. Mayo",43909
"158 Lackabaun, Co. Kerry",43907
"027 Coole, Co. Westmeath",43903
"042 Ballynadrumny, Co. Kildare",43902
"012 Drumcarrow, Co. Monaghan",43871
"021 Taylors Hill, Galway City",43862
"016 Renmore, Galway City",43840
"033 Rossard, Co. Wexford",43824
"014 Churchtown, Co. Kildare",43808
"034 Dysartmoon, Co. Kilkenny",43807
"017 Dock D, Limerick City",43789
"103 Killymasny, Co. Donegal",43785
"073 Loughmoe, North Tipperary",43764
"015 Castleboro, Co. Wexford",43754
"017 Crossmolina South, Co. Mayo",43753
"050 Kilpatrick, Co. Kildare",43749
"071 Portlaoighise (Maryborough) Rural, Co. Laois",43743
"014 Termon, Co. Cavan",43740
"063 Grilly, Co. Cavan",43728
"106 Kilculliheen (part), Co. Kilkenny",43721
"015 Ballymun A, Dublin City",43696
"004 Ballingarry, Co. Limerick",43691
"048 Coolgreany, Co. Wexford",43685
"020 Doonis, Co. Westmeath",43676
"043 Kilnarath, North Tipperary",43657
"095 Ballincloher, Co. Kerry",43650
"064 Kilwatermoy West, Co. Waterford",43646
"044 Butler's Bridge, Co. Cavan",43627
"031 Tallaght-Glenview, South Dublin",43622
"038 Nobber, Co. Meath",43616
"025 Garryhill, Co. Carlow",43594
"081 Killare, Co. Westmeath",43594
"081 Kilgobnet, Co. Kerry",43577
"005 Blandsfort, Co. Laois",43575
"025 Castlekeeran, Co. Meath",43567
"077 Riversdale, Co. Limerick",43558
"141 Knockmourne, Co. Cork",43544
"271 Drishane, Co. Cork",43539
"026 Grangeford, Co. Carlow",43537
"116 Tullamain, South Tipperary",43525
"159 Walkinstown B, Dublin City",43510
"011 Shercock, Co. Cavan",43499
"145 Allow, Co. Cork",43497
"035 Tallaght-Kiltipper, South Dublin",43495
"136 Ballynakill, Co. Galway",43492
"015 Ferbane, Co. Offaly",43491
"055 Windmill Cross, Co. Kildare",43476
"049 Ballysteen, Co. Clare",43472
"010 Kilconnell, Co. Galway",43470
"045 Cloonee, Co. Longford",43467
"071 Kildare, Co. Kildare",43451
"098 Bridgetown, Co. Wexford",43442
"035 Killanniv, Co. Clare",43442
"062 Ballymurreen, North Tipperary",43425
"097 Mahoonagh, Co. Limerick",43417
"088 Milltown, Co. Kerry",43408
"037 Singland B, Limerick City",43406
"032 Toberpatrick East, Co. Sligo",43391
"245 Wallstown, Co. Cork",43379
"173 Shronell, South Tipperary",43376
"089 Carrick-on-Suir Rural, South Tipperary",43349
"043 Fore East, Co. Westmeath",43325
"090 Killimer, Co. Clare",43325
"077 Inch, Co. Wexford",43320
"193 Donaghpatrick, Co. Galway",43304
"020 Edermine, Co. Wexford",43287
"090 Grange, Co. Waterford",43281
"086 Raheny-Greendale, Dublin City",43275
"046 Kilbarrymeaden, Co. Waterford",43271
"052 Ennereilly, Co. Wicklow",43268
"053 Rathangan, Co. Kildare",43264
"102 Cooleagh, South Tipperary",43263
"048 Cronebane, Co. Wicklow",43253
"135 Annagh, Co. Galway",43249
"072 Kilmore D, Dublin City",43228
"043 Sliguff, Co. Carlow",43219
"151 Slievemahanagh, Co. Mayo",43218
"051 Glynn, Co. Carlow",43215
"054 Ballyhane, Co. Waterford",43208
"064 Clonygowan, Co. Offaly",43185
"093 Scrabby, Co. Cavan",43183
"016 Castledockrell, Co. Wexford",43180
"044 Ballyarthur, Co. Wicklow",43177
"013 Donard, Co. Wicklow",43175
"206 Killursa, Co. Galway",43173
"099 Ballyhorgan, Co. Kerry",43168
"014 Donaghmore, Co. Laois",43167
"012 Murroogh, Galway City",43166
"106 Castleboy, Co. Galway",43143
"009 Carrig, North Tipperary",43142
"040 Dalgan, Co. Mayo",43131
"130 Shanagolden, Co. Limerick",43128
"055 Ballykilmore, Co. Westmeath",43120
"063 Wells, Co. Wexford",43117
"015 Ballyellin, Co. Carlow",43107
"016 Dunleer, Co. Louth",43103
"028 Coolure, Co. Westmeath",43089
"025 Letter, Co. Offaly",43080
"010 Castlebellingham, Co. Louth",43077
"009 Crossalare, Co. Monaghan",43073
"079 Ballybrophy, Co. Laois",43066
"024 Lea, Co. Offaly",43061
"035 Anny, Co. Monaghan",43060
"040 Copperalley, Co. Westmeath",43027
"080 Pontoon, Co. Mayo",43027
"130 Tullaghmelan, South Tipperary",43026
999 Owennadornaun / Bundorragha,43005
"024 Fennagh, Co. Carlow",42981
"092 Ardcavan, Co. Wexford",42977
"082 Powerstown, Co. Kilkenny",42972
"076 Kilturra, Co. Sligo",42971
"146 Fennor, South Tipperary",42970
"194 Doonbally, Co. Galway",42962
"030 Newtown, Waterford City",42948
"071 Curraghmore, Co. Galway",42943
"017 Kiltybegs, Co. Monaghan",42897
"209 Inchigeelagh, Co. Cork",42887
"043 Clontarf West B, Dublin City",42873
"009 Cavangarden, Co. Donegal",42861
"012 Clohaskin, North Tipperary",42855
"139 Castleffrench, Co. Galway",42852
"012 Coolraine, Limerick City",42851
"010 Ballyhuskard, Co. Wexford",42849
"146 Killuran, Co. Clare",42848
"049 Castlecuffe, Co. Laois",42840
"028 Faughart, Co. Louth",42830
"096 Cashel Rural, South Tipperary",42812
"049 Roslee, Co. Mayo",42806
"073 Coolballintaggart, Co. Wicklow",42804
"175 Templeneiry, South Tipperary",42803
"100 Edenacarnan (Part Rural), Co. Donegal",42790
"013 Blanchardstown-Mulhuddart, Fingal",42786
999 Brisha / Capard,42777
"032 Tallaght-Jobstown, South Dublin",42775
"032 Maperath, Co. Meath",42775
"024 Rathdangan, Co. Wicklow",42771
"062 Courtmacsherry, Co. Cork",42756
"030 Killedmond, Co. Carlow",42754
"053 Marley, Co. Carlow",42746
999 Ballinalack / Lackan,42744
"014 Graignagower, Co. Waterford",42734
"110 Carrigboy, Co. Cork",42730
"024 Kilkea, Co. Kildare",42723
"041 Ballinaclash, Co. Wicklow",42709
"035 Derrycastle, North Tipperary",42706
"025 Gelshagh, Co. Longford",42697
"172 Meelick, Co. Galway",42697
"144 Cordal, Co. Kerry",42684
"081 Rathmoylan, Co. Waterford",42681
"063 Grange E, Dublin City",42679
"039 Tallaght-Springfield, South Dublin",42677
"027 Dromana, Co. Waterford",42677
"030 Teadies, Co. Cork",42672
"028 Kilrush, Co. Wexford",42653
"068 Ballynakill, Co. Galway",42652
"100 Mayo, Co. Mayo",42629
"078 Trumra, Co. Laois",42620
"155 Cill Chuimín, Co. Galway",42615
"073 Rearymore, Co. Laois",42594
"110 Kilmainham C, Dublin City",42591
"197 Foxhall, Co. Galway",42585
"174 Solloghodbeg, South Tipperary",42581
999 Ballybeg South / Ballynaneashagh,42571
"067 Balla, Co. Mayo",42563
"005 Clonea, Co. Waterford",42551
"041 Ridge, Co. Carlow",42550
"033 Mountstuart, Co. Waterford",42548
"061 Crossakeel, Co. Meath",42542
"087 Rathsaran, Co. Laois",42520
"234 Liscarroll, Co. Cork",42519
"127 Mortlestown, South Tipperary",42495
"054 Shanakiel, Cork City",42490
"015 Kilbarron, North Tipperary",42485
"069 Ardnamullan, Co. Meath",42481
"053 Corraneary, Co. Cavan",42477
"121 Boherglass, Co. Clare",42475
"037 Griston, Co. Limerick",42445
"032 Laragh, Co. Monaghan",42434
"073 Castlejordan, Co. Meath",42429
"004 Athy Rural (Part Rural), Co. Kildare",42415
"058 Knockrath, Co. Wicklow",42415
"104 Tullycreen, Co. Clare",42410
"122 Loch Caol, Co. Donegal",42410
"063 Maol Mosóg, Co. Donegal",42409
"003 Balbriggan Urban, Fingal",42407
"013 Ballymodan, Co. Cork",42407
"166 Tubrid, Co. Kerry",42395
"065 Limerick North Rural, Limerick City",42394
"006 Caher, Co. Laois",42384
"040 Bricklieve, Co. Sligo",42384
"275 Rathcool, Co. Cork",42382
"002 Longford No. 2 Urban, Co. Longford",42377
"037 Tinnacross, Co. Wexford",42370
"166 Golden, South Tipperary",42368
"005 Haroldstown, Co. Carlow",42365
"035 Moynalty, Co. Meath",42339
"120 Merchants Quay B, Dublin City",42329
"147 Banteer, Co. Cork",42329
"012 Kilmactranny, Co. Sligo",42328
"019 Raferagh, Co. Monaghan",42328
"061 Grange C, Dublin City",42326
"001 Ballinlough A, Cork City",42326
"104 Harperstown, Co. Wexford",42319
"078 Jamestown, Co. Westmeath",42316
"068 Dysart, Co. Westmeath",42314
"017 Kylemore, Co. Galway",42310
"012 Aghacashel, Co. Leitrim",42309
"078 Kilgarvan, Co. Wexford",42304
"046 Dún Laoghaire-Mount Town, Dún Laoghaire-Rathdown",42290
"011 Cloghprior, North Tipperary",42259
"027 Clenagh, Co. Clare",42230
"008 Clondalkin-Moorfield, South Dublin",42220
"066 Clonlost, Co. Westmeath",42212
"106 Templeglentan, Co. Limerick",42206
"040 Balloughter, Co. Wexford",42205
"014 Killure, Co. Galway",42202
"026 Ardcrony, North Tipperary",42186
"025 Ballyragget, Co. Kilkenny",42182
"070 Tullycorbet, Co. Monaghan",42166
"062 The Glen B, Cork City",42149
"208 Kilshanvy, Co. Galway",42143
"022 Kilberry, Co. Kildare",42139
"086 Lauree, Co. Westmeath",42133
"026 Lumcloon, Co. Offaly",42123
"044 Knockdrin, Co. Offaly",42113
"014 Shancough, Co. Sligo",42103
"031 Shannonbridge, Co. Offaly",42101
"089 Molahiffe, Co. Kerry",42099
"083 Cloonyquin, Co. Roscommon",42096
"124 Whitechurch, Co. Wexford",42080
"011 Burtown, Co. Kildare",42078
"007 Ballytruckle, Waterford City",42070
"100 Crumlin C, Dublin City",42066
"072 Cloonoghill, Co. Sligo",42044
"040 Newmarket, Co. Clare",42042
"010 Mionlach, Galway City",42035
"027 Monasterevin, Co. Kildare",42025
"068 Ballinafad, Co. Mayo",41981
"089 Dromtrasna, Co. Limerick",41974
"177 Tipperary Rural, South Tipperary",41958
"068 Barrack Village, Co. Wexford",41932
"142 Knock, Co. Donegal",41924
"020 Carn, Co. Cavan",41923
"005 Ballyagran, Co. Limerick",41918
"037 Rosbercon Rural, Co. Kilkenny",41912
"010 Ballina Rural (Part Urban), Co. Mayo",41901
"048 Montenotte B, Cork City",41899
"058 Derrin, Co. Cavan",41887
"076 Jerpoint Church, Co. Kilkenny",41882
"097 Cherry Orchard C, Dublin City",41881
"001 Ballinascorney, South Dublin",41878
"071 Gortermone, Co. Leitrim",41871
"063 Rathdrum, Co. Wicklow",41870
"162 Wood Quay B, Dublin City",41864
"198 Headford, Co. Galway",41824
"016 Kilmurry, Co. Monaghan",41808
"120 Burncourt, South Tipperary",41803
"061 Sailearna, Co. Galway",41795
"037 Ashfield, Co. Cavan",41768
"018 Moore, Co. Roscommon",41753
"021 Taghmaconnell, Co. Roscommon",41747
"062 Ballyhale, Co. Kilkenny",41746
"032 Leighlinbridge, Co. Carlow",41745
"005 Arran Quay E, Dublin City",41733
"035 Rathaspick, Co. Laois",41727
"012 Ballyvaldon, Co. Wexford",41727
"083 Kinnegad, Co. Westmeath",41711
"071 Turners Cross A, Cork City",41707
"024 Abington, North Tipperary",41706
"111 Termonbarry, Co. Roscommon",41706
"037 Tallaght-Millbrook, South Dublin",41703
"079 Ardagh, Co. Limerick",41677
"134 Grean, Co. Limerick",41669
"033 Louth, Co. Louth",41666
999 Bantry Rural / Whiddy,41666
"020 Baile Mhac Airt, Co. Waterford",41664
"017 Castle Ellis, Co. Wexford",41657
"037 Ticor North, Waterford City",41640
"082 Tamhnaigh na Graí, Co. Mayo",41639
"079 Clooncoorha, Co. Clare",41634
"139 Boolteens, Co. Kerry",41629
"066 Inns Quay A, Dublin City",41620
"010 Mullagh, Co. Cavan",41614
"090 Cloghermore, Co. Mayo",41612
"131 Feakle, Co. Clare",41608
"005 Macroom Urban, Co. Cork",41606
"008 Kingscourt, Co. Cavan",41597
"055 Drumhillagh, Co. Monaghan",41595
"015 Kilmacshane, Co. Galway",41592
"135 Ballyseedy, Co. Kerry",41583
"066 Droichead Nua (Newbridge) Urban, Co. Kildare",41575
"039 Carrigcastle, Co. Waterford",41559
"117 Ardfinnan, South Tipperary",41556
"054 Kilcomb, Co. Wexford",41555
"084 Ballindine, Co. Mayo",41554
"106 Inchicore A, Dublin City",41553
"002 Arklow No. 2 Urban, Co. Wicklow",41549
"074 Annaghmore, Co. Roscommon",41540
"088 Templetown, Co. Wexford",41527
"159 Clonbeg, South Tipperary",41526
"004 An Caisleán Gearr, Galway City",41514
"042 Trohanny, Co. Meath",41502
"007 Eyre Square, Galway City",41442
"109 Pollrone, Co. Kilkenny",41428
"165 Glengar, South Tipperary",41424
"011 Cleaboy, Waterford City",41419
"047 Castlesaunderson, Co. Cavan",41419
"018 Grangemellon, Co. Kildare",41415
"094 Artramon, Co. Wexford",41408
"028 Knockanbaun, Co. Longford",41400
"043 Kilcommon, Co. Mayo",41366
"160 Walkinstown C, Dublin City",41360
"010 Castlequin, Co. Kerry",41353
"118 Listowel Rural, Co. Kerry",41352
"039 Dawsongrove, Co. Monaghan",41341
"080 Ballintober, Co. Limerick",41321
"060 Timoney, North Tipperary",41319
"004 Aghanagh, Co. Sligo",41317
"005 Claddagh, Galway City",41294
"007 Carrickmacross Rural, Co. Monaghan",41294
"050 Ballyvaskin, Co. Clare",41288
"006 Bishopstown A, Cork City",41273
"026 Stratford, Co. Wicklow",41271
"066 Addergoole, Co. Mayo",41261
"040 Staholmog, Co. Meath",41255
"035 Cabra West C, Dublin City",41250
"108 Suí Corr, Co. Donegal",41246
"185 Beaghmore, Co. Galway",41242
"081 Ardamullivan, Co. Galway",41238
"082 Rathrobin, Co. Offaly",41230
"241 Skahanagh, Co. Cork",41223
"038 Clonbulloge, Co. Offaly",41195
