Electoral Division,Household Income
"075 Ballincollig, Co. Cork",58130
"153 Castlemagner, Co. Cork",58126
"070 Ennisnag, Co. Kilkenny",58071
"004 Clondalkin-Ballymount, South Dublin",58067
"068 Nealstown, Co. Laois",58066
"212 Cill na Martra, Co. Cork",58063
"079 Grennanstown, Co. Meath",58062
"040 Knockrea A, Cork City",58029
"001 Ballinteer-Broadford, Dún Laoghaire-Rathdown",57994
"090 Baunmore, Co. Kilkenny",57973
"058 Jamestown, Co. Laois",57969
"022 Thomastown, Co. Roscommon",57938
"037 Swords-Glasmore, Fingal",57926
"123 Kiltullagh, Co. Galway",57865
"051 Bective, Co. Meath",57858
"221 Ardskeagh, Co. Cork",57850
"203 Killeen, Co. Galway",57833
"113 Nodstown, South Tipperary",57804
"114 Croagh, Co. Limerick",57790
"048 Baile Chláir, Co. Galway",57775
"027 Ballina, North Tipperary",57747
"034 Kilcloher, Co. Clare",57746
"118 Iveruss, Co. Limerick",57743
"018 Cabinteely-Granitefield, Dún Laoghaire-Rathdown",57737
"084 Woodstown, Co. Waterford",57711
"012 Blanchardstown-Delwood, Fingal",57708
"023 Carriglea, Co. Waterford",57696
"034 Skerries, Fingal",57676
"011 Edmondstown, South Dublin",57632
"017 Bengour, Co. Cork",57570
"062 Oldtown, Co. Wicklow",57567
"219 Na hUláin, Co. Cork",57546
"048 Nenagh Rural, North Tipperary",57496
"019 Rockhill, Co. Roscommon",57495
"074 Castlerickard, Co. Meath",57482
"040 Ballinamara, Co. Kilkenny",57463
"109 Cloghera, Co. Clare",57457
"098 Monkstown Rural, Co. Cork",57444
"029 Kilmacar, Co. Kilkenny",57438
"065 Mountmellick Rural, Co. Laois",57406
"142 Dangan, Co. Clare",57390
"113 Killeely, Co. Clare",57353
"087 Dripsey, Co. Cork",57313
"002 Ballinlough B, Cork City",57289
"018 Newcastle, South Dublin",57273
"069 Tramore B, Cork City",57262
"118 Mansion House B, Dublin City",57247
"067 Castlegannon, Co. Kilkenny",57243
"148 Terenure A, Dublin City",57234
"172 Roskeen, Co. Cork",57210
"222 Ballyclogh, Co. Cork",57128
"076 Shaen, Co. Laois",57115
"079 Newcastle, Co. Waterford",57068
"094 Chapelizod, Dublin City",57021
"264 Templenacarriga, Co. Cork",56998
"190 Kinure, Co. Cork",56994
"041 Dunhill, Co. Waterford",56973
"047 St. Mary's (Part Rural), Co. Meath",56955
"052 Ballysimon, Co. Limerick",56945
"016 Lucan Heights, South Dublin",56903
"022 Noughaval, Co. Westmeath",56900
"041 Calry, Co. Sligo",56889
"042 Killukin, Co. Roscommon",56871
"046 Ballynestragh, Co. Wexford",56855
"042 Termonfeckin, Co. Louth",56846
"042 Ballycarroll, Co. Laois",56815
"002 Ballydangan, Co. Roscommon",56786
"076 Flesk, Co. Kerry",56763
"059 Grange A, Dublin City",56740
"044 Coolcraheen, Co. Kilkenny",56732
"019 Ballymun E, Dublin City",56725
"055 Emo, Co. Laois",56713
"041 Aughrim, Co. Galway",56682
"189 Kinsale Rural, Co. Cork",56658
"016 Baurleigh, Co. Cork",56657
"060 Oranmore, Co. Galway",56625
"250 Castlemartyr, Co. Cork",56613
"154 Westport Rural, Co. Mayo",56585
"081 Innfield, Co. Meath",56562
"037 Kilnamona, Co. Clare",56553
"036 Donadea, Co. Kildare",56533
"068 Coolhill, Co. Kilkenny",56523
"037 Clontarf East A, Dublin City",56483
"049 Killinthomas, Co. Kildare",56475
"017 Lecarrow, Co. Roscommon",56463
"052 Mountdavis, Co. Longford",56448
"053 Domhnach Phádraig, Co. Meath",56432
"029 Tober, Co. Wicklow",56400
"059 Maigh Cuilinn, Co. Galway",56387
"156 Clonmeen, Co. Cork",56369
"065 Brewsterfield, Co. Kerry",56367
"104 Bullaun, Co. Galway",56315
"109 Kilmainham B, Dublin City",56245
"024 Clonea, Co. Waterford",56241
"249 Carrigtohill, Co. Cork",56231
"004 Auburn, Co. Westmeath",56226
"059 Tiscoffin, Co. Kilkenny",56206
"085 Raheny-Foxfield, Dublin City",56204
"029 Botanic C, Dublin City",56164
"022 Churchtown-Castle, Dún Laoghaire-Rathdown",56114
"030 Barrowhouse, Co. Laois",56084
"077 North Dock B, Dublin City",56062
"010 Crannagh, Co. Roscommon",56061
"113 Kimmage C, Dublin City",56043
"083 Turlough, Co. Mayo",56021
"035 Dalkey Hill, Dún Laoghaire-Rathdown",55983
"141 Clooney, Co. Clare",55979
"062 Clane, Co. Kildare",55977
"099 Lackan, Co. Roscommon",55973
"012 Crecora, Co. Limerick",55959
"112 Magorban, South Tipperary",55948
"086 Rochestown, Co. Wexford",55944
"022 Beaumont B, Dublin City",55941
"022 Castlering, Co. Louth",55929
"049 Drumcondra South C, Dublin City",55909
"052 Odagh, Co. Kilkenny",55902
"072 Ballyconnell, Co. Meath",55876
"014 Farranshoneen, Waterford City",55863
"015 Tullaghanbrogue, Co. Kilkenny",55843
"088 Glenwilliam, Co. Waterford",55817
"139 Killathy, Co. Cork",55809
"061 Clonkeen, Co. Limerick",55789
"148 Kilvemnon, South Tipperary",55756
"064 Drom, North Tipperary",55740
"053 Ardnaglew, Co. Westmeath",55733
"182 Ballinderry, Co. Galway",55728
"027 Johnstown, Co. Carlow",55718
"041 Ballybeagh, Co. Kilkenny",55674
"009 Castletown, Co. Limerick",55657
"075 Heathstown, Co. Westmeath",55652
"179 Ballyfeard, Co. Cork",55652
"121 Kilreekill, Co. Galway",55640
"044 Crownarad, Co. Donegal",55625
"031 Birdhill, North Tipperary",55609
"072 Breaghwy, Co. Mayo",55583
"057 Liscananaun, Co. Galway",55538
"110 Cloontra, Co. Clare",55528
"048 Drumcliff West, Co. Sligo",55495
"069 Gorteen, Co. Offaly",55450
"070 Larah North, Co. Cavan",55435
"204 Clonmoyle, Co. Cork",55432
"027 Cruicetown, Co. Meath",55392
"112 Kilpatrick, Co. Wexford",55372
"069 Danesfort, Co. Kilkenny",55355
"018 St. Mary's, Co. Waterford",55333
"045 Dunbell, Co. Kilkenny",55326
"163 Drumwood, South Tipperary",55323
"135 Gortroe, Co. Cork",55322
"031 Cahercorney, Co. Limerick",55258
"049 Clonervy, Co. Cavan",55250
"047 Drumcliff East, Co. Sligo",55239
"017 Grange, Co. Limerick",55217
"099 Russellstown, Co. Westmeath",55212
"060 Kilmullen, Co. Laois",55196
"027 Saggart, South Dublin",55179
"060 Clonakilty Rural, Co. Cork",55168
"037 Bracklin, Co. Westmeath",55162
"067 Kilmoylerane, Co. Cork",55153
"085 Moneenalassa, Co. Laois",55136
"281 Kilgullane, Co. Cork",55132
"033 Martry, Co. Meath",55123
"025 Kilsallaghan, Fingal",55115
"053 Borrisnoe, North Tipperary",55106
"035 Kilmacanoge (Part Urban), Co. Wicklow",55077
"147 Doon, Co. Kerry",55055
"112 Graigabbey, Co. Galway",55050
"056 Ballynamult, Co. Waterford",55023
"133 Tiaquin, Co. Galway",55019
"204 Killererin, Co. Galway",55019
"060 Ballyshear, Co. Offaly",55017
"033 Darragh, Co. Limerick",55001
"004 Baldoyle, Fingal",54984
"143 Clogherbrien, Co. Kerry",54978
"034 Tallaght-Kilnamanagh, South Dublin",54969
"061 Aghaviller, Co. Kilkenny",54938
"039 Kilkeary, North Tipperary",54917
"008 Ballynoe, Co. Limerick",54904
"051 Glencar, Co. Sligo",54896
"056 Painestown, Co. Meath",54868
"087 Lahard, Co. Kerry",54864
"059 Moneystown, Co. Wicklow",54852
"033 Rush, Fingal",54842
"059 Stackallan, Co. Meath",54839
"084 Knockdrin, Co. Westmeath",54832
"037 Altidore, Co. Wicklow",54831
"122 Kilteskill, Co. Galway",54820
"079 Tullyvin West, Co. Cavan",54794
"016 Hartstown, Co. Wicklow",54777
"017 Stabannan, Co. Louth",54769
"054 Caherconlish East, Co. Limerick",54769
"117 Lackareagh, Co. Clare",54762
"043 Dún Laoghaire-Glasthule, Dún Laoghaire-Rathdown",54756
"096 Rathbeagh, Co. Kilkenny",54754
"090 Muckross (Part Urban), Co. Kerry",54737
"143 Rathmines West F, Dublin City",54702
"059 Carrick, Co. Westmeath",54699
"040 Croghan, Co. Offaly",54698
"002 Ballinteer-Ludford, Dún Laoghaire-Rathdown",54693
"042 Spancelhill (Part Urban), Co. Clare",54691
"141 Rathmines West D, Dublin City",54690
"055 Rathcoole, Co. Kilkenny",54675
"205 Killower, Co. Galway",54673
"083 Oldcourt, Co. Wexford",54668
"012 Ballinacarrig (Part Urban), Co. Carlow",54663
"020 Inchaquire, Co. Kildare",54641
"125 Nantinan, Co. Limerick",54637
"080 Blarney, Co. Cork",54621
"046 Rockhill, Co. Limerick",54606
"157 Ushers F, Dublin City",54596
"027 Botanic A, Dublin City",54579
"044 Mahon C, Cork City",54526
"071 Kilclonfert, Co. Offaly",54500
"052 Kilmacowen, Co. Sligo",54500
"008 Forgney, Co. Longford",54485
"069 Gilltown, Co. Kildare",54476
"120 Teerelton, Co. Cork",54452
"089 Drumacoo, Co. Galway",54452
"150 Newgrove, Co. Clare",54415
"026 Coumaraglin, Co. Waterford",54415
"045 Belleville, Co. Galway",54413
"079 Cams, Co. Roscommon",54394
"013 Dromin, Co. Louth",54377
"060 Carnalway, Co. Kildare",54364
"028 Crusheen, Co. Clare",54364
"095 Portloman, Co. Westmeath",54357
"075 Lisheen, Co. Clare",54329
"081 Oldconnell, Co. Kildare",54322
"162 Wormhole, Co. Galway",54316
"008 Bishopstown C, Cork City",54312
"018 Ardnagragh, Co. Westmeath",54302
"043 Ballyfin, Co. Laois",54273
"059 Ballycommon, Co. Offaly",54260
"132 Ballyclerahan, South Tipperary",54255
"069 Inch, North Tipperary",54222
"238 Rahan, Co. Cork",54181
"013 Kilmessan, Co. Meath",54163
"017 Umma, Co. Westmeath",54123
"008 Earlstown, Co. Kilkenny",54113
"042 Ballycallan, Co. Kilkenny",54112
"068 Feighcullen, Co. Kildare",54110
"080 Hill of Down, Co. Meath",54088
"060 Newcastle Lower, Co. Wicklow",54060
"082 Reisk, Co. Waterford",54045
"003 Ballydurn, Co. Waterford",54034
"116 Kilconickny, Co. Galway",54025
"090 An Ráth Mhór, Co. Meath",54024
"045 Georgestown, Co. Waterford",54022
"120 Kildimo, Co. Limerick",54016
"003 Bearna, Galway City",54000
"069 O'More's Forest, Co. Laois",53982
"018 Mertonhall, North Tipperary",53950
"070 Kilrush, North Tipperary",53942
"041 Edenderry Rural, Co. Offaly",53928
"003 Burnchurch, Co. Kilkenny",53917
"056 Ballymore Eustace, Co. Kildare",53906
"253 Corkbeg, Co. Cork",53885
"049 Ardbraccan, Co. Meath",53883
"078 Kilkeasy, Co. Kilkenny",53864
"046 Mellifont, Co. Meath",53862
"017 Hollywood, Co. Wicklow",53862
"109 Scregg, Co. Roscommon",53848
